instance_pre,instance_post,conn_num,tot_syn_cnt,mean_syn_cnt,syn_cnt_sd
EPG(PB08)_L3,EPG(PB08)_R4,0,0,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_R3,0,0,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_L6,0,0,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_L1,4,7,1.75,0.9574271077563381
EPG(PB08)_L3,EPG(PB08)_R2,0,0,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_L4,7,22,3.142857142857143,3.132015933791495
EPG(PB08)_L3,EPG(PB08)_R5,3,4,1.3333333333333333,0.5773502691896257
EPG(PB08)_L3,EPG(PB08)_L5,3,5,1.6666666666666667,1.1547005383792515
EPG(PB08)_L3,EPG(PB08)_L2,7,17,2.4285714285714284,1.3972762620115438
EPG(PB08)_L3,EPG(PB08)_R6,9,161,17.88888888888889,10.970921160554893
EPG(PB08)_L3,EPG(PB08)_R7,9,177,19.666666666666668,14.352700094407323
EPG(PB08)_L3,EPG(PB08)_L7,8,14,1.75,0.7071067811865476
EPG(PB08)_L3,EPG(PB08)_L8,1,1,1.0,0.0
EPG(PB08)_L3,EPG(PB08)_R8,1,2,2.0,0.0
EPG(PB08)_L3,EPG(PB08)_R1,0,0,0.0,0.0
EPG(PB08)_L3,Delta7(PB15)_L6R3_L,15,301,20.066666666666666,6.83966025332782
EPG(PB08)_L3,Delta7(PB15)_L5R4_L,15,142,9.466666666666667,4.307247491424303
EPG(PB08)_L3,Delta7(PB15)_L4R5_R,14,38,2.7142857142857144,2.4314785444432596
EPG(PB08)_L3,Delta7(PB15)_L1L9R8_R,15,97,6.466666666666667,2.996823715361379
EPG(PB08)_L3,Delta7(PB15)_L8R1R9_L,15,266,17.733333333333334,4.651676605063516
EPG(PB08)_L3,Delta7(PB15)_L3R6_R,10,25,2.5,1.2692955176439846
EPG(PB08)_L3,Delta7(PB15)_L7R2_L,9,184,20.444444444444443,4.503085362035432
EPG(PB08)_L3,Delta7(PB15)_L2R7_R,9,18,2.0,1.5811388300841898
EPG(PB08)_L3,PEG(PB07)_R1,0,0,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_L5,3,16,5.333333333333333,2.309401076758503
EPG(PB08)_L3,PEG(PB07)_L6,2,4,2.0,0.0
EPG(PB08)_L3,PEG(PB07)_R6,3,10,3.3333333333333335,2.0816659994661326
EPG(PB08)_L3,PEG(PB07)_R4,0,0,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_L4,6,20,3.3333333333333335,3.6147844564602556
EPG(PB08)_L3,PEG(PB07)_R2,0,0,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R3,0,0,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_L3,9,337,37.44444444444444,42.17555900966551
EPG(PB08)_L3,PEG(PB07)_R7,3,28,9.333333333333334,5.686240703077327
EPG(PB08)_L3,PEG(PB07)_L7,3,17,5.666666666666667,2.0816659994661326
EPG(PB08)_L3,PEG(PB07)_L8,2,2,1.0,0.0
EPG(PB08)_L3,PEG(PB07)_R9,0,0,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_L1,3,18,6.0,4.58257569495584
EPG(PB08)_L3,PEG(PB07)_L2,4,12,3.0,3.3665016461206925
EPG(PB08)_L3,PEG(PB07)_L9,3,17,5.666666666666667,2.0816659994661326
EPG(PB08)_L3,PEG(PB07)_R5,0,0,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R8,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_L7,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R4,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R3,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_L2,2,5,2.5,0.7071067811865476
EPG(PB08)_L3,PEN_a(PB06a)_R6,2,4,2.0,1.4142135623730951
EPG(PB08)_L3,PEN_a(PB06a)_L6,1,1,1.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_L4,6,103,17.166666666666668,5.269408568963567
EPG(PB08)_L3,PEN_a(PB06a)_R5,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R2,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R7,3,32,10.666666666666666,7.371114795831994
EPG(PB08)_L3,PEN_a(PB06a)_R8,3,88,29.333333333333332,15.307950004273378
EPG(PB08)_L3,PEN_a(PB06a)_L8,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R9,2,3,1.5,0.7071067811865476
EPG(PB08)_L3,PEN_a(PB06a)_L9,0,0,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_L3,5,88,17.6,15.142654985173506
EPG(PB08)_L3,PEN_a(PB06a)_L5,3,34,11.333333333333334,7.505553499465135
EPG(PB08)_L3,PEN_b(PB06b)_L4,6,148,24.666666666666668,12.878923350446133
EPG(PB08)_L3,PEN_b(PB06b)_R4,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L6,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R7,2,11,5.5,4.949747468305833
EPG(PB08)_L3,PEN_b(PB06b)_R2,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R5,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R6,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R3,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R8,3,97,32.333333333333336,15.69500982265807
EPG(PB08)_L3,PEN_b(PB06b)_R9,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L9,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L7,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L8,0,0,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L5,2,15,7.5,4.949747468305833
EPG(PB08)_L3,PEN_b(PB06b)_L2,2,10,5.0,4.242640687119285
EPG(PB08)_L3,PEN_b(PB06b)_L3,3,120,40.0,20.808652046684813
EPG(PB08)_R4,EPG(PB08)_L3,0,0,0.0,0.0
EPG(PB08)_R4,EPG(PB08)_R3,7,31,4.428571428571429,3.3094381626464866
EPG(PB08)_R4,EPG(PB08)_L6,9,147,16.333333333333332,11.510864433221338
EPG(PB08)_R4,EPG(PB08)_L1,0,0,0.0,0.0
EPG(PB08)_R4,EPG(PB08)_R2,1,1,1.0,0.0
EPG(PB08)_R4,EPG(PB08)_L4,4,8,2.0,1.1547005383792515
EPG(PB08)_R4,EPG(PB08)_R5,6,15,2.5,1.224744871391589
EPG(PB08)_R4,EPG(PB08)_L5,9,79,8.777777777777779,8.526103708285776
EPG(PB08)_R4,EPG(PB08)_L2,0,0,0.0,0.0
EPG(PB08)_R4,EPG(PB08)_R6,0,0,0.0,0.0
EPG(PB08)_R4,EPG(PB08)_R7,0,0,0.0,0.0
EPG(PB08)_R4,EPG(PB08)_L7,2,4,2.0,1.4142135623730951
EPG(PB08)_R4,EPG(PB08)_L8,1,1,1.0,0.0
EPG(PB08)_R4,EPG(PB08)_R8,0,0,0.0,0.0
EPG(PB08)_R4,EPG(PB08)_R1,0,0,0.0,0.0
EPG(PB08)_R4,Delta7(PB15)_L6R3_L,9,15,1.6666666666666667,0.8660254037844386
EPG(PB08)_R4,Delta7(PB15)_L5R4_L,8,22,2.75,2.2519832529192065
EPG(PB08)_R4,Delta7(PB15)_L4R5_R,11,36,3.272727272727273,1.2720777563426766
EPG(PB08)_R4,Delta7(PB15)_L1L9R8_R,15,326,21.733333333333334,6.870918702002215
EPG(PB08)_R4,Delta7(PB15)_L8R1R9_L,15,213,14.2,6.950847841399329
EPG(PB08)_R4,Delta7(PB15)_L3R6_R,12,146,12.166666666666666,3.9504506839170395
EPG(PB08)_R4,Delta7(PB15)_L7R2_L,9,41,4.555555555555555,2.2973414586817036
EPG(PB08)_R4,Delta7(PB15)_L2R7_R,15,318,21.2,4.4110251480968525
EPG(PB08)_R4,PEG(PB07)_R1,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L5,1,5,5.0,0.0
EPG(PB08)_R4,PEG(PB07)_L6,3,19,6.333333333333333,3.0550504633038935
EPG(PB08)_R4,PEG(PB07)_R6,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R4,6,283,47.166666666666664,32.220593828585265
EPG(PB08)_R4,PEG(PB07)_L4,0,0,0.0,0.0
