instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L1L9R8_R,0.0,0.0
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,8.44,7.875
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L3R6_R,11.45,11.875
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L4R5_R,20.68,16.0
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L5R4_L,19.88,16.25
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L6R3_L,17.96,16.0
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L7R2_L,11.8,12.125
Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L8R1R9_L,8.28,8.75
Delta7(PB15)_L2R7_R,Delta7(PB15)_L1L9R8_R,7.56,8.75
Delta7(PB15)_L2R7_R,Delta7(PB15)_L2R7_R,0.0,0.0
Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,8.727272727272727,7.875
Delta7(PB15)_L2R7_R,Delta7(PB15)_L4R5_R,13.28,11.875
Delta7(PB15)_L2R7_R,Delta7(PB15)_L5R4_L,16.423076923076923,16.0
Delta7(PB15)_L2R7_R,Delta7(PB15)_L6R3_L,15.384615384615385,16.25
Delta7(PB15)_L2R7_R,Delta7(PB15)_L7R2_L,14.6,16.0
Delta7(PB15)_L2R7_R,Delta7(PB15)_L8R1R9_L,13.16,12.125
Delta7(PB15)_L3R6_R,Delta7(PB15)_L1L9R8_R,12.85,12.125
Delta7(PB15)_L3R6_R,Delta7(PB15)_L2R7_R,11.19047619047619,8.75
Delta7(PB15)_L3R6_R,Delta7(PB15)_L3R6_R,0.0,0.0
Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,8.05,7.875
Delta7(PB15)_L3R6_R,Delta7(PB15)_L5R4_L,13.3,11.875
Delta7(PB15)_L3R6_R,Delta7(PB15)_L6R3_L,14.904761904761905,16.0
Delta7(PB15)_L3R6_R,Delta7(PB15)_L7R2_L,16.166666666666668,16.25
Delta7(PB15)_L3R6_R,Delta7(PB15)_L8R1R9_L,19.05,16.0
Delta7(PB15)_L4R5_R,Delta7(PB15)_L1L9R8_R,20.923076923076923,16.0
Delta7(PB15)_L4R5_R,Delta7(PB15)_L2R7_R,16.26923076923077,12.125
Delta7(PB15)_L4R5_R,Delta7(PB15)_L3R6_R,9.95,8.75
Delta7(PB15)_L4R5_R,Delta7(PB15)_L4R5_R,0.0,0.0
Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,9.296296296296296,7.875
Delta7(PB15)_L4R5_R,Delta7(PB15)_L6R3_L,16.384615384615383,11.875
Delta7(PB15)_L4R5_R,Delta7(PB15)_L7R2_L,18.866666666666667,16.0
Delta7(PB15)_L4R5_R,Delta7(PB15)_L8R1R9_L,19.72,16.25
Delta7(PB15)_L5R4_L,Delta7(PB15)_L1L9R8_R,17.0,16.25
Delta7(PB15)_L5R4_L,Delta7(PB15)_L2R7_R,13.28,16.0
Delta7(PB15)_L5R4_L,Delta7(PB15)_L3R6_R,11.0,12.125
Delta7(PB15)_L5R4_L,Delta7(PB15)_L4R5_R,8.115384615384615,8.75
Delta7(PB15)_L5R4_L,Delta7(PB15)_L5R4_L,0.0,0.0
Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,7.12,7.875
Delta7(PB15)_L5R4_L,Delta7(PB15)_L7R2_L,10.6,11.875
Delta7(PB15)_L5R4_L,Delta7(PB15)_L8R1R9_L,13.56,16.0
Delta7(PB15)_L6R3_L,Delta7(PB15)_L1L9R8_R,16.92,16.0
Delta7(PB15)_L6R3_L,Delta7(PB15)_L2R7_R,14.8,16.25
Delta7(PB15)_L6R3_L,Delta7(PB15)_L3R6_R,15.7,16.0
