instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L1,22.1,17.375
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L2,4.875,5.5
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L3,1.0,1.125
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L4,1.6923076923076923,0.875
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L5,2.2222222222222223,1.5
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L6,1.6,1.5
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L7,1.0,1.125
Delta7(PB15)_L1L9R8_R,EPG(PB08)_L8,1.6666666666666667,2.875
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R1,6.571428571428571,4.5
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R2,0.0,0.875
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R3,2.0714285714285716,1.25
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R4,1.9333333333333333,1.25
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R5,1.9,1.5
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R6,1.0,1.125
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R7,1.8333333333333333,1.875
Delta7(PB15)_L1L9R8_R,EPG(PB08)_R8,19.2,19.375
Delta7(PB15)_L2R7_R,EPG(PB08)_L1,7.333333333333333,2.875
Delta7(PB15)_L2R7_R,EPG(PB08)_L2,17.5,17.375
Delta7(PB15)_L2R7_R,EPG(PB08)_L3,10.444444444444445,5.5
Delta7(PB15)_L2R7_R,EPG(PB08)_L4,1.4,1.125
Delta7(PB15)_L2R7_R,EPG(PB08)_L5,1.25,0.875
Delta7(PB15)_L2R7_R,EPG(PB08)_L6,1.0,1.5
Delta7(PB15)_L2R7_R,EPG(PB08)_L7,1.0,1.5
Delta7(PB15)_L2R7_R,EPG(PB08)_L8,1.0,1.125
Delta7(PB15)_L2R7_R,EPG(PB08)_R1,1.3333333333333333,0.875
Delta7(PB15)_L2R7_R,EPG(PB08)_R2,1.0,1.25
Delta7(PB15)_L2R7_R,EPG(PB08)_R3,2.7142857142857144,1.25
