instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L1,47.4,44.75
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L2,10.0,11.375
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L3,0.0,0.875
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L4,2.2,1.125
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L5,2.0,1.25
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L6,2.0,1.25
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L7,1.0,0.75
Delta7(PB15)_L1L9R8_R,PEG(PB07)_L8,1.0,4.875
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R1,8.8,10.5
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R2,0.0,0.625
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R3,3.5,1.5
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R4,1.5,1.125
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R5,1.5,1.5
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R6,1.0,0.75
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R7,7.0,3.625
Delta7(PB15)_L1L9R8_R,PEG(PB07)_R8,62.2,53.625
Delta7(PB15)_L2R7_R,PEG(PB07)_L1,9.333333333333334,4.875
Delta7(PB15)_L2R7_R,PEG(PB07)_L2,44.0,44.75
Delta7(PB15)_L2R7_R,PEG(PB07)_L3,18.0,11.375
Delta7(PB15)_L2R7_R,PEG(PB07)_L4,1.0,0.875
Delta7(PB15)_L2R7_R,PEG(PB07)_L5,0.0,1.125
Delta7(PB15)_L2R7_R,PEG(PB07)_L6,1.0,1.25
Delta7(PB15)_L2R7_R,PEG(PB07)_L7,1.0,1.25
Delta7(PB15)_L2R7_R,PEG(PB07)_L8,0.0,0.75
Delta7(PB15)_L2R7_R,PEG(PB07)_R1,1.0,0.625
Delta7(PB15)_L2R7_R,PEG(PB07)_R2,2.0,1.5
Delta7(PB15)_L2R7_R,PEG(PB07)_R3,2.4,1.125
Delta7(PB15)_L2R7_R,PEG(PB07)_R4,2.6,1.5
Delta7(PB15)_L2R7_R,PEG(PB07)_R5,1.3333333333333333,0.75
Delta7(PB15)_L2R7_R,PEG(PB07)_R6,1.3333333333333333,3.625
Delta7(PB15)_L2R7_R,PEG(PB07)_R7,48.8,53.625
Delta7(PB15)_L2R7_R,PEG(PB07)_R8,7.0,10.5
Delta7(PB15)_L3R6_R,PEG(PB07)_L1,0.0,0.75
Delta7(PB15)_L3R6_R,PEG(PB07)_L2,8.0,4.875
Delta7(PB15)_L3R6_R,PEG(PB07)_L3,75.25,44.75
Delta7(PB15)_L3R6_R,PEG(PB07)_L4,9.0,11.375
Delta7(PB15)_L3R6_R,PEG(PB07)_L5,1.0,0.875
Delta7(PB15)_L3R6_R,PEG(PB07)_L6,1.0,1.125
Delta7(PB15)_L3R6_R,PEG(PB07)_L7,0.0,1.25
Delta7(PB15)_L3R6_R,PEG(PB07)_L8,0.0,1.25
Delta7(PB15)_L3R6_R,PEG(PB07)_R1,1.75,1.5
Delta7(PB15)_L3R6_R,PEG(PB07)_R2,1.0,1.125
Delta7(PB15)_L3R6_R,PEG(PB07)_R3,4.0,1.5
Delta7(PB15)_L3R6_R,PEG(PB07)_R4,1.0,0.75
Delta7(PB15)_L3R6_R,PEG(PB07)_R5,3.0,3.625
Delta7(PB15)_L3R6_R,PEG(PB07)_R6,45.0,53.625
Delta7(PB15)_L3R6_R,PEG(PB07)_R7,15.0,10.5
Delta7(PB15)_L3R6_R,PEG(PB07)_R8,0.0,0.625
Delta7(PB15)_L4R5_R,PEG(PB07)_L1,1.0,1.25
Delta7(PB15)_L4R5_R,PEG(PB07)_L2,1.5,0.75
Delta7(PB15)_L4R5_R,PEG(PB07)_L3,1.0,4.875
Delta7(PB15)_L4R5_R,PEG(PB07)_L4,41.5,44.75
Delta7(PB15)_L4R5_R,PEG(PB07)_L5,20.5,11.375
Delta7(PB15)_L4R5_R,PEG(PB07)_L6,1.0,0.875
Delta7(PB15)_L4R5_R,PEG(PB07)_L7,1.0,1.125
Delta7(PB15)_L4R5_R,PEG(PB07)_L8,0.0,1.25
Delta7(PB15)_L4R5_R,PEG(PB07)_R1,1.5,1.125
Delta7(PB15)_L4R5_R,PEG(PB07)_R2,0.0,1.5
Delta7(PB15)_L4R5_R,PEG(PB07)_R3,1.75,0.75
Delta7(PB15)_L4R5_R,PEG(PB07)_R4,3.4,3.625
Delta7(PB15)_L4R5_R,PEG(PB07)_R5,67.0,53.625
