instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L2,6.75,4.25
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L3,1.0,0.5
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L4,1.5,0.375
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L5,1.0,0.625
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L6,1.0,0.625
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L7,1.0,0.375
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L8,3.0,2.75
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_L9,15.4,17.375
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R2,0.0,0.25
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R3,1.75,0.75
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R4,1.0,1.0
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R5,1.5,1.0
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R6,1.0,0.625
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R7,3.5,2.25
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R8,24.8,21.625
Delta7(PB15)_L1L9R8_R,PEN_a(PB06a)_R9,1.0,3.625
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L2,28.0,17.375
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L3,12.666666666666666,4.25
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L4,1.5,0.5
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L5,0.0,0.375
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L6,1.0,0.625
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L7,0.0,0.625
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L8,0.0,0.375
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_L9,0.0,2.75
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R2,1.0,0.75
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R3,2.0,1.0
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R4,1.0,1.0
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R5,1.0,0.625
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R6,2.5,2.25
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R7,20.4,21.625
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R8,3.0,3.625
Delta7(PB15)_L2R7_R,PEN_a(PB06a)_R9,0.0,0.25
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L2,10.0,2.75
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L3,21.75,17.375
