instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L2,13.5,15.0
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L3,1.0,0.375
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L4,1.0,0.5
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L5,0.0,0.375
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L6,1.0,0.5
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L7,0.0,0.25
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L8,3.0,4.0
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_L9,50.4,66.0
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R2,1.0,1.0
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R3,1.0,0.75
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R4,1.0,0.875
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R5,2.0,0.875
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R6,0.0,0.75
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R7,9.0,7.5
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R8,88.2,82.75
Delta7(PB15)_L1L9R8_R,PEN_b(PB06b)_R9,4.2,10.75
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L2,74.16666666666667,66.0
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L3,40.0,15.0
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L4,1.0,0.375
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L5,0.0,0.5
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L6,0.0,0.375
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L7,0.0,0.5
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L8,0.0,0.25
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_L9,0.0,4.0
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R2,1.0,0.75
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R3,1.3333333333333333,0.875
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R4,1.0,0.875
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R5,2.0,0.75
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R6,8.666666666666666,7.5
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R7,84.6,82.75
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R8,9.333333333333334,10.75
Delta7(PB15)_L2R7_R,PEN_b(PB06b)_R9,0.0,1.0
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L2,14.0,4.0
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L3,123.25,66.0
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L4,7.0,15.0
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L5,0.0,0.375
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L6,1.0,0.5
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L7,0.0,0.375
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L8,0.0,0.5
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_L9,0.0,0.25
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R2,0.0,0.875
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R3,2.5,0.875
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R4,1.0,0.75
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R5,1.0,7.5
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R6,61.0,82.75
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R7,15.5,10.75
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R8,2.0,1.0
Delta7(PB15)_L3R6_R,PEN_b(PB06b)_R9,0.0,0.75
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L2,0.0,0.25
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L3,0.0,4.0
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L4,57.18181818181818,66.0
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L5,21.75,15.0
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L6,0.0,0.375
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L7,0.0,0.5
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L8,0.0,0.375
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_L9,0.0,0.5
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R2,1.0,0.875
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R3,1.0,0.75
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R4,3.8,7.5
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R5,124.0,82.75
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R6,15.875,10.75
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R7,1.0,1.0
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R8,1.0,0.75
Delta7(PB15)_L4R5_R,PEN_b(PB06b)_R9,0.0,0.875
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L2,1.5,0.5
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L3,1.3333333333333333,0.25
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L4,6.166666666666667,4.0
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L5,97.0,66.0
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L6,17.6,15.0
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L7,1.0,0.375
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L8,0.0,0.5
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_L9,0.0,0.375
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R2,2.0,0.75
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R3,3.0,7.5
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R4,54.1,82.75
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R5,14.75,10.75
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R6,1.0,1.0
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R7,1.0,0.75
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R8,2.0,0.875
Delta7(PB15)_L5R4_L,PEN_b(PB06b)_R9,0.0,0.875
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L2,1.75,0.375
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L3,1.5,0.5
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L4,1.0,0.25
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L5,1.5,4.0
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L6,23.8,66.0
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L7,20.0,15.0
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L8,0.0,0.375
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_L9,0.0,0.5
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R2,26.8,7.5
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R3,82.83333333333333,82.75
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R4,9.4,10.75
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R5,1.0,1.0
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R6,0.0,0.75
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R7,1.0,0.875
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R8,0.0,0.875
Delta7(PB15)_L6R3_L,PEN_b(PB06b)_R9,0.0,0.75
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L2,1.0,0.5
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L3,1.3333333333333333,0.375
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L4,1.0,0.5
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L5,0.0,0.25
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L6,3.0,4.0
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L7,52.666666666666664,66.0
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L8,1.5,15.0
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_L9,0.0,0.375
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R2,101.33333333333333,82.75
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R3,13.0,10.75
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R4,1.0,1.0
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R5,1.0,0.75
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R6,1.0,0.875
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R7,0.0,0.875
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R8,0.0,0.75
Delta7(PB15)_L7R2_L,PEN_b(PB06b)_R9,0.0,7.5
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L2,0.0,0.375
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L3,1.25,0.5
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L4,1.4,0.375
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L5,0.0,0.5
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L6,0.0,0.25
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L7,5.666666666666667,4.0
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L8,52.8,66.0
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_L9,1.0,15.0
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R2,7.4,10.75
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R3,1.0,1.0
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R4,1.0,0.75
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R5,1.3333333333333333,0.875
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R6,1.0,0.875
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R7,0.0,0.75
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R8,10.666666666666666,7.5
Delta7(PB15)_L8R1R9_L,PEN_b(PB06b)_R9,68.8,82.75
