instance_pre,instance_post,mean_syn_cnt,cs_weight
EPG(PB08)_L1,Delta7(PB15)_L1L9R8_R,3.75,2.125
EPG(PB08)_L1,Delta7(PB15)_L2R7_R,2.0,2.0
EPG(PB08)_L1,Delta7(PB15)_L3R6_R,8.875,9.375
EPG(PB08)_L1,Delta7(PB15)_L4R5_R,19.9,15.625
EPG(PB08)_L1,Delta7(PB15)_L5R4_L,29.0,16.375
EPG(PB08)_L1,Delta7(PB15)_L6R3_L,19.9,13.375
EPG(PB08)_L1,Delta7(PB15)_L7R2_L,8.5,5.5
EPG(PB08)_L1,Delta7(PB15)_L8R1R9_L,1.25,1.625
EPG(PB08)_L2,Delta7(PB15)_L1L9R8_R,1.6666666666666667,1.625
EPG(PB08)_L2,Delta7(PB15)_L2R7_R,3.0,2.125
EPG(PB08)_L2,Delta7(PB15)_L3R6_R,1.8333333333333333,2.0
EPG(PB08)_L2,Delta7(PB15)_L4R5_R,13.1,9.375
EPG(PB08)_L2,Delta7(PB15)_L5R4_L,19.7,15.625
EPG(PB08)_L2,Delta7(PB15)_L6R3_L,18.9,16.375
EPG(PB08)_L2,Delta7(PB15)_L7R2_L,14.666666666666666,13.375
EPG(PB08)_L2,Delta7(PB15)_L8R1R9_L,3.5,5.5
EPG(PB08)_L3,Delta7(PB15)_L1L9R8_R,6.466666666666667,5.5
EPG(PB08)_L3,Delta7(PB15)_L2R7_R,2.0,1.625
EPG(PB08)_L3,Delta7(PB15)_L3R6_R,2.5,2.125
EPG(PB08)_L3,Delta7(PB15)_L4R5_R,2.7142857142857144,2.0
EPG(PB08)_L3,Delta7(PB15)_L5R4_L,9.466666666666667,9.375
EPG(PB08)_L3,Delta7(PB15)_L6R3_L,20.066666666666666,15.625
EPG(PB08)_L3,Delta7(PB15)_L7R2_L,20.444444444444443,16.375
EPG(PB08)_L3,Delta7(PB15)_L8R1R9_L,17.733333333333334,13.375
EPG(PB08)_L4,Delta7(PB15)_L1L9R8_R,18.8125,13.375
EPG(PB08)_L4,Delta7(PB15)_L2R7_R,8.0,5.5
EPG(PB08)_L4,Delta7(PB15)_L3R6_R,1.4444444444444444,1.625
EPG(PB08)_L4,Delta7(PB15)_L4R5_R,1.9090909090909092,2.125
EPG(PB08)_L4,Delta7(PB15)_L5R4_L,2.5833333333333335,2.0
EPG(PB08)_L4,Delta7(PB15)_L6R3_L,14.6875,9.375
EPG(PB08)_L4,Delta7(PB15)_L7R2_L,23.3,15.625
EPG(PB08)_L4,Delta7(PB15)_L8R1R9_L,19.6875,16.375
EPG(PB08)_L5,Delta7(PB15)_L1L9R8_R,21.466666666666665,16.375
