instance_pre,instance_post,mean_syn_cnt,cs_weight
EPG(PB08)_L1,EPG(PB08)_L1,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_L2,5.8,2.625
EPG(PB08)_L1,EPG(PB08)_L3,1.25,1.0
EPG(PB08)_L1,EPG(PB08)_L4,1.0,0.625
EPG(PB08)_L1,EPG(PB08)_L5,2.0,1.125
EPG(PB08)_L1,EPG(PB08)_L6,0.0,0.5
EPG(PB08)_L1,EPG(PB08)_L7,1.25,1.0
EPG(PB08)_L1,EPG(PB08)_L8,4.8,2.625
EPG(PB08)_L1,EPG(PB08)_R1,18.428571428571427,15.625
EPG(PB08)_L1,EPG(PB08)_R2,1.0,0.875
EPG(PB08)_L1,EPG(PB08)_R3,0.0,0.125
EPG(PB08)_L1,EPG(PB08)_R4,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_R5,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_R6,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_R7,2.5,1.25
EPG(PB08)_L1,EPG(PB08)_R8,16.0,15.5
EPG(PB08)_L2,EPG(PB08)_L1,3.0,2.625
EPG(PB08)_L2,EPG(PB08)_L2,0.0,0.0
EPG(PB08)_L2,EPG(PB08)_L3,2.0,2.625
EPG(PB08)_L2,EPG(PB08)_L4,1.0,1.0
EPG(PB08)_L2,EPG(PB08)_L5,0.0,0.625
EPG(PB08)_L2,EPG(PB08)_L6,1.0,1.125
EPG(PB08)_L2,EPG(PB08)_L7,0.0,0.5
EPG(PB08)_L2,EPG(PB08)_L8,1.5,1.0
EPG(PB08)_L2,EPG(PB08)_R1,1.0,0.875
EPG(PB08)_L2,EPG(PB08)_R2,0.0,0.125
EPG(PB08)_L2,EPG(PB08)_R3,0.0,0.0
EPG(PB08)_L2,EPG(PB08)_R4,0.0,0.0
EPG(PB08)_L2,EPG(PB08)_R5,0.0,0.0
EPG(PB08)_L2,EPG(PB08)_R6,1.0,1.25
EPG(PB08)_L2,EPG(PB08)_R7,19.333333333333332,15.5
EPG(PB08)_L2,EPG(PB08)_R8,16.625,15.625
EPG(PB08)_L3,EPG(PB08)_L1,1.75,1.0
EPG(PB08)_L3,EPG(PB08)_L2,2.4285714285714284,2.625
EPG(PB08)_L3,EPG(PB08)_L3,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_L4,3.142857142857143,2.625
EPG(PB08)_L3,EPG(PB08)_L5,1.6666666666666667,1.0
EPG(PB08)_L3,EPG(PB08)_L6,0.0,0.625
EPG(PB08)_L3,EPG(PB08)_L7,1.75,1.125
EPG(PB08)_L3,EPG(PB08)_L8,1.0,0.5
EPG(PB08)_L3,EPG(PB08)_R1,0.0,0.125
EPG(PB08)_L3,EPG(PB08)_R2,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_R3,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_R4,0.0,0.0
EPG(PB08)_L3,EPG(PB08)_R5,1.3333333333333333,1.25
EPG(PB08)_L3,EPG(PB08)_R6,17.88888888888889,15.5
EPG(PB08)_L3,EPG(PB08)_R7,19.666666666666668,15.625
EPG(PB08)_L3,EPG(PB08)_R8,2.0,0.875
EPG(PB08)_L4,EPG(PB08)_L1,0.0,0.5
EPG(PB08)_L4,EPG(PB08)_L2,1.4,1.0
EPG(PB08)_L4,EPG(PB08)_L3,2.625,2.625
EPG(PB08)_L4,EPG(PB08)_L4,0.0,0.0
EPG(PB08)_L4,EPG(PB08)_L5,1.25,2.625
EPG(PB08)_L4,EPG(PB08)_L6,1.2,1.0
EPG(PB08)_L4,EPG(PB08)_L7,1.0,0.625
EPG(PB08)_L4,EPG(PB08)_L8,1.25,1.125
EPG(PB08)_L4,EPG(PB08)_R1,0.0,0.0
EPG(PB08)_L4,EPG(PB08)_R2,0.0,0.0
EPG(PB08)_L4,EPG(PB08)_R3,0.0,0.0
EPG(PB08)_L4,EPG(PB08)_R4,1.0,1.25
EPG(PB08)_L4,EPG(PB08)_R5,11.0,15.5
EPG(PB08)_L4,EPG(PB08)_R6,16.666666666666668,15.625
EPG(PB08)_L4,EPG(PB08)_R7,0.0,0.875
EPG(PB08)_L4,EPG(PB08)_R8,0.0,0.125
EPG(PB08)_L5,EPG(PB08)_L1,1.2,1.125
EPG(PB08)_L5,EPG(PB08)_L2,0.0,0.5
EPG(PB08)_L5,EPG(PB08)_L3,1.8,1.0
EPG(PB08)_L5,EPG(PB08)_L4,1.8,2.625
EPG(PB08)_L5,EPG(PB08)_L5,0.0,0.0
EPG(PB08)_L5,EPG(PB08)_L6,2.0,2.625
EPG(PB08)_L5,EPG(PB08)_L7,1.2,1.0
EPG(PB08)_L5,EPG(PB08)_L8,1.0,0.625
EPG(PB08)_L5,EPG(PB08)_R1,0.0,0.0
EPG(PB08)_L5,EPG(PB08)_R2,0.0,0.0
EPG(PB08)_L5,EPG(PB08)_R3,2.0,1.25
EPG(PB08)_L5,EPG(PB08)_R4,12.222222222222221,15.5
EPG(PB08)_L5,EPG(PB08)_R5,11.333333333333334,15.625
EPG(PB08)_L5,EPG(PB08)_R6,0.0,0.875
EPG(PB08)_L5,EPG(PB08)_R7,0.0,0.125
EPG(PB08)_L5,EPG(PB08)_R8,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_L1,0.0,0.625
EPG(PB08)_L6,EPG(PB08)_L2,1.5,1.125
EPG(PB08)_L6,EPG(PB08)_L3,1.0,0.5
EPG(PB08)_L6,EPG(PB08)_L4,1.5714285714285714,1.0
EPG(PB08)_L6,EPG(PB08)_L5,2.6,2.625
EPG(PB08)_L6,EPG(PB08)_L6,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_L7,2.875,2.625
EPG(PB08)_L6,EPG(PB08)_L8,1.1111111111111112,1.0
EPG(PB08)_L6,EPG(PB08)_R1,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_R2,1.0,1.25
EPG(PB08)_L6,EPG(PB08)_R3,14.555555555555555,15.5
EPG(PB08)_L6,EPG(PB08)_R4,18.444444444444443,15.625
EPG(PB08)_L6,EPG(PB08)_R5,1.0,0.875
EPG(PB08)_L6,EPG(PB08)_R6,0.0,0.125
EPG(PB08)_L6,EPG(PB08)_R7,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_R8,0.0,0.0
EPG(PB08)_L7,EPG(PB08)_L1,1.0,1.0
EPG(PB08)_L7,EPG(PB08)_L2,1.0,0.625
EPG(PB08)_L7,EPG(PB08)_L3,1.625,1.125
