instance_pre,instance_post,mean_syn_cnt,cs_weight
EPG(PB08)_L1,PEG(PB07)_L1,35.0,32.0
EPG(PB08)_L1,PEG(PB07)_L2,4.8,2.0
EPG(PB08)_L1,PEG(PB07)_L3,5.5,5.75
EPG(PB08)_L1,PEG(PB07)_L4,1.0,1.0
EPG(PB08)_L1,PEG(PB07)_L5,1.5,4.25
EPG(PB08)_L1,PEG(PB07)_L6,1.5,0.625
EPG(PB08)_L1,PEG(PB07)_L7,5.5,4.625
EPG(PB08)_L1,PEG(PB07)_L8,1.0,1.75
EPG(PB08)_L1,PEG(PB07)_R1,13.75,7.75
EPG(PB08)_L1,PEG(PB07)_R2,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R3,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R4,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R5,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R6,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R7,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R8,1.0,2.0
EPG(PB08)_L2,PEG(PB07)_L1,0.0,1.75
EPG(PB08)_L2,PEG(PB07)_L2,43.333333333333336,32.0
EPG(PB08)_L2,PEG(PB07)_L3,1.0,2.0
EPG(PB08)_L2,PEG(PB07)_L4,5.0,5.75
EPG(PB08)_L2,PEG(PB07)_L5,2.0,1.0
EPG(PB08)_L2,PEG(PB07)_L6,5.5,4.25
EPG(PB08)_L2,PEG(PB07)_L7,0.0,0.625
EPG(PB08)_L2,PEG(PB07)_L8,2.0,4.625
EPG(PB08)_L2,PEG(PB07)_R1,0.0,0.0
EPG(PB08)_L2,PEG(PB07)_R2,0.0,0.0
EPG(PB08)_L2,PEG(PB07)_R3,0.0,0.0
EPG(PB08)_L2,PEG(PB07)_R4,0.0,0.0
EPG(PB08)_L2,PEG(PB07)_R5,0.0,0.0
EPG(PB08)_L2,PEG(PB07)_R6,0.0,0.0
EPG(PB08)_L2,PEG(PB07)_R7,0.0,2.0
EPG(PB08)_L2,PEG(PB07)_R8,5.0,7.75
EPG(PB08)_L3,PEG(PB07)_L1,6.0,4.625
EPG(PB08)_L3,PEG(PB07)_L2,3.0,1.75
EPG(PB08)_L3,PEG(PB07)_L3,37.44444444444444,32.0
EPG(PB08)_L3,PEG(PB07)_L4,3.3333333333333335,2.0
EPG(PB08)_L3,PEG(PB07)_L5,5.333333333333333,5.75
EPG(PB08)_L3,PEG(PB07)_L6,2.0,1.0
EPG(PB08)_L3,PEG(PB07)_L7,5.666666666666667,4.25
EPG(PB08)_L3,PEG(PB07)_L8,1.0,0.625
EPG(PB08)_L3,PEG(PB07)_R1,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R2,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R3,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R4,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R5,0.0,0.0
EPG(PB08)_L3,PEG(PB07)_R6,3.3333333333333335,2.0
EPG(PB08)_L3,PEG(PB07)_R7,9.333333333333334,7.75
EPG(PB08)_L3,PEG(PB07)_R8,0.0,0.0
EPG(PB08)_L4,PEG(PB07)_L1,0.0,0.625
EPG(PB08)_L4,PEG(PB07)_L2,6.0,4.625
EPG(PB08)_L4,PEG(PB07)_L3,2.0,1.75
EPG(PB08)_L4,PEG(PB07)_L4,38.9,32.0
EPG(PB08)_L4,PEG(PB07)_L5,2.2,2.0
EPG(PB08)_L4,PEG(PB07)_L6,4.0,5.75
EPG(PB08)_L4,PEG(PB07)_L7,0.0,1.0
EPG(PB08)_L4,PEG(PB07)_L8,3.5,4.25
EPG(PB08)_L4,PEG(PB07)_R1,0.0,0.0
EPG(PB08)_L4,PEG(PB07)_R2,0.0,0.0
EPG(PB08)_L4,PEG(PB07)_R3,0.0,0.0
EPG(PB08)_L4,PEG(PB07)_R4,0.0,0.0
EPG(PB08)_L4,PEG(PB07)_R5,2.0,2.0
EPG(PB08)_L4,PEG(PB07)_R6,8.0,7.75
EPG(PB08)_L4,PEG(PB07)_R7,0.0,0.0
EPG(PB08)_L4,PEG(PB07)_R8,0.0,0.0
EPG(PB08)_L5,PEG(PB07)_L1,5.666666666666667,4.25
EPG(PB08)_L5,PEG(PB07)_L2,1.0,0.625
EPG(PB08)_L5,PEG(PB07)_L3,4.666666666666667,4.625
EPG(PB08)_L5,PEG(PB07)_L4,2.75,1.75
EPG(PB08)_L5,PEG(PB07)_L5,36.0,32.0
EPG(PB08)_L5,PEG(PB07)_L6,2.2,2.0
EPG(PB08)_L5,PEG(PB07)_L7,11.333333333333334,5.75
EPG(PB08)_L5,PEG(PB07)_L8,1.0,1.0
EPG(PB08)_L5,PEG(PB07)_R1,0.0,0.0
EPG(PB08)_L5,PEG(PB07)_R2,0.0,0.0
EPG(PB08)_L5,PEG(PB07)_R3,0.0,0.0
EPG(PB08)_L5,PEG(PB07)_R4,2.0,2.0
EPG(PB08)_L5,PEG(PB07)_R5,5.666666666666667,7.75
EPG(PB08)_L5,PEG(PB07)_R6,0.0,0.0
EPG(PB08)_L5,PEG(PB07)_R7,0.0,0.0
EPG(PB08)_L5,PEG(PB07)_R8,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_L1,0.0,1.0
EPG(PB08)_L6,PEG(PB07)_L2,4.666666666666667,4.25
EPG(PB08)_L6,PEG(PB07)_L3,0.0,0.625
EPG(PB08)_L6,PEG(PB07)_L4,3.3333333333333335,4.625
EPG(PB08)_L6,PEG(PB07)_L5,1.6666666666666667,1.75
EPG(PB08)_L6,PEG(PB07)_L6,23.666666666666668,32.0
EPG(PB08)_L6,PEG(PB07)_L7,1.0,2.0
EPG(PB08)_L6,PEG(PB07)_L8,6.0,5.75
EPG(PB08)_L6,PEG(PB07)_R1,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R2,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R3,1.0,2.0
EPG(PB08)_L6,PEG(PB07)_R4,5.0,7.75
EPG(PB08)_L6,PEG(PB07)_R5,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R6,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R7,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R8,0.0,0.0
EPG(PB08)_L7,PEG(PB07)_L1,6.0,5.75
EPG(PB08)_L7,PEG(PB07)_L2,1.0,1.0
EPG(PB08)_L7,PEG(PB07)_L3,6.666666666666667,4.25
EPG(PB08)_L7,PEG(PB07)_L4,1.0,0.625
EPG(PB08)_L7,PEG(PB07)_L5,4.0,4.625
EPG(PB08)_L7,PEG(PB07)_L6,4.333333333333333,1.75
EPG(PB08)_L7,PEG(PB07)_L7,23.88888888888889,32.0
EPG(PB08)_L7,PEG(PB07)_L8,2.3333333333333335,2.0
EPG(PB08)_L7,PEG(PB07)_R1,0.0,0.0
EPG(PB08)_L7,PEG(PB07)_R2,5.333333333333333,2.0
EPG(PB08)_L7,PEG(PB07)_R3,6.333333333333333,7.75
EPG(PB08)_L7,PEG(PB07)_R4,0.0,0.0
EPG(PB08)_L7,PEG(PB07)_R5,0.0,0.0
