instance_pre,instance_post,mean_syn_cnt,cs_weight
EPG(PB08)_L1,PEN_a(PB06a)_L2,22.5,19.75
EPG(PB08)_L1,PEN_a(PB06a)_L3,21.0,9.625
EPG(PB08)_L1,PEN_a(PB06a)_L4,1.5,0.75
EPG(PB08)_L1,PEN_a(PB06a)_L5,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_L6,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_L7,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_L8,0.0,0.75
EPG(PB08)_L1,PEN_a(PB06a)_L9,3.5,13.25
EPG(PB08)_L1,PEN_a(PB06a)_R2,36.5,24.0
EPG(PB08)_L1,PEN_a(PB06a)_R3,1.0,1.5
EPG(PB08)_L1,PEN_a(PB06a)_R4,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_R5,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_R6,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_R7,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_R8,1.0,0.5
EPG(PB08)_L1,PEN_a(PB06a)_R9,21.0,10.375
EPG(PB08)_L2,PEN_a(PB06a)_L2,19.5,13.25
EPG(PB08)_L2,PEN_a(PB06a)_L3,23.0,19.75
EPG(PB08)_L2,PEN_a(PB06a)_L4,9.25,9.625
EPG(PB08)_L2,PEN_a(PB06a)_L5,0.0,0.75
EPG(PB08)_L2,PEN_a(PB06a)_L6,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_L7,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_L8,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_L9,0.0,0.75
EPG(PB08)_L2,PEN_a(PB06a)_R2,3.5,1.5
EPG(PB08)_L2,PEN_a(PB06a)_R3,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_R4,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_R5,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_R6,0.0,0.0
EPG(PB08)_L2,PEN_a(PB06a)_R7,0.0,0.5
EPG(PB08)_L2,PEN_a(PB06a)_R8,11.5,10.375
EPG(PB08)_L2,PEN_a(PB06a)_R9,24.5,24.0
EPG(PB08)_L3,PEN_a(PB06a)_L2,2.5,0.75
EPG(PB08)_L3,PEN_a(PB06a)_L3,17.6,13.25
EPG(PB08)_L3,PEN_a(PB06a)_L4,17.166666666666668,19.75
EPG(PB08)_L3,PEN_a(PB06a)_L5,11.333333333333334,9.625
EPG(PB08)_L3,PEN_a(PB06a)_L6,1.0,0.75
EPG(PB08)_L3,PEN_a(PB06a)_L7,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_L8,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_L9,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R2,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R3,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R4,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R5,0.0,0.0
EPG(PB08)_L3,PEN_a(PB06a)_R6,2.0,0.5
EPG(PB08)_L3,PEN_a(PB06a)_R7,10.666666666666666,10.375
EPG(PB08)_L3,PEN_a(PB06a)_R8,29.333333333333332,24.0
EPG(PB08)_L3,PEN_a(PB06a)_R9,1.5,1.5
EPG(PB08)_L4,PEN_a(PB06a)_L2,0.0,0.0
EPG(PB08)_L4,PEN_a(PB06a)_L3,1.5,0.75
EPG(PB08)_L4,PEN_a(PB06a)_L4,17.11111111111111,13.25
EPG(PB08)_L4,PEN_a(PB06a)_L5,21.666666666666668,19.75
EPG(PB08)_L4,PEN_a(PB06a)_L6,5.5,9.625
EPG(PB08)_L4,PEN_a(PB06a)_L7,0.0,0.75
EPG(PB08)_L4,PEN_a(PB06a)_L8,0.0,0.0
EPG(PB08)_L4,PEN_a(PB06a)_L9,0.0,0.0
EPG(PB08)_L4,PEN_a(PB06a)_R2,0.0,0.0
EPG(PB08)_L4,PEN_a(PB06a)_R3,0.0,0.0
EPG(PB08)_L4,PEN_a(PB06a)_R4,0.0,0.0
EPG(PB08)_L4,PEN_a(PB06a)_R5,0.0,0.5
EPG(PB08)_L4,PEN_a(PB06a)_R6,5.666666666666667,10.375
EPG(PB08)_L4,PEN_a(PB06a)_R7,23.666666666666668,24.0
EPG(PB08)_L4,PEN_a(PB06a)_R8,0.0,1.5
EPG(PB08)_L4,PEN_a(PB06a)_R9,0.0,0.0
EPG(PB08)_L5,PEN_a(PB06a)_L2,0.0,0.0
EPG(PB08)_L5,PEN_a(PB06a)_L3,0.0,0.0
EPG(PB08)_L5,PEN_a(PB06a)_L4,2.0,0.75
EPG(PB08)_L5,PEN_a(PB06a)_L5,20.5,13.25
EPG(PB08)_L5,PEN_a(PB06a)_L6,13.333333333333334,19.75
