instance_pre,instance_post,mean_syn_cnt,cs_weight
EPG(PB08)_L1,PEN_b(PB06b)_L2,24.0,24.125
EPG(PB08)_L1,PEN_b(PB06b)_L3,9.0,4.375
EPG(PB08)_L1,PEN_b(PB06b)_L4,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_L5,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_L6,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_L7,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_L8,0.0,1.375
EPG(PB08)_L1,PEN_b(PB06b)_L9,0.0,22.0
EPG(PB08)_L1,PEN_b(PB06b)_R2,39.5,28.0
EPG(PB08)_L1,PEN_b(PB06b)_R3,0.0,0.125
EPG(PB08)_L1,PEN_b(PB06b)_R4,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_R5,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_R6,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_R7,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_R8,0.0,0.0
EPG(PB08)_L1,PEN_b(PB06b)_R9,3.3333333333333335,5.625
EPG(PB08)_L2,PEN_b(PB06b)_L2,20.666666666666668,22.0
EPG(PB08)_L2,PEN_b(PB06b)_L3,33.5,24.125
EPG(PB08)_L2,PEN_b(PB06b)_L4,2.25,4.375
EPG(PB08)_L2,PEN_b(PB06b)_L5,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_L6,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_L7,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_L8,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_L9,0.0,1.375
EPG(PB08)_L2,PEN_b(PB06b)_R2,0.0,0.125
EPG(PB08)_L2,PEN_b(PB06b)_R3,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_R4,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_R5,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_R6,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_R7,0.0,0.0
EPG(PB08)_L2,PEN_b(PB06b)_R8,7.0,5.625
EPG(PB08)_L2,PEN_b(PB06b)_R9,24.5,28.0
EPG(PB08)_L3,PEN_b(PB06b)_L2,5.0,1.375
EPG(PB08)_L3,PEN_b(PB06b)_L3,40.0,22.0
EPG(PB08)_L3,PEN_b(PB06b)_L4,24.666666666666668,24.125
EPG(PB08)_L3,PEN_b(PB06b)_L5,7.5,4.375
EPG(PB08)_L3,PEN_b(PB06b)_L6,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L7,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L8,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_L9,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R2,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R3,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R4,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R5,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R6,0.0,0.0
EPG(PB08)_L3,PEN_b(PB06b)_R7,5.5,5.625
EPG(PB08)_L3,PEN_b(PB06b)_R8,32.333333333333336,28.0
EPG(PB08)_L3,PEN_b(PB06b)_R9,0.0,0.125
EPG(PB08)_L4,PEN_b(PB06b)_L2,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_L3,0.0,1.375
EPG(PB08)_L4,PEN_b(PB06b)_L4,26.833333333333332,22.0
EPG(PB08)_L4,PEN_b(PB06b)_L5,24.666666666666668,24.125
EPG(PB08)_L4,PEN_b(PB06b)_L6,2.6666666666666665,4.375
EPG(PB08)_L4,PEN_b(PB06b)_L7,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_L8,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_L9,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_R2,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_R3,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_R4,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_R5,0.0,0.0
EPG(PB08)_L4,PEN_b(PB06b)_R6,2.25,5.625
EPG(PB08)_L4,PEN_b(PB06b)_R7,21.333333333333332,28.0
EPG(PB08)_L4,PEN_b(PB06b)_R8,1.0,0.125
EPG(PB08)_L4,PEN_b(PB06b)_R9,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_L2,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_L3,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_L4,4.5,1.375
EPG(PB08)_L5,PEN_b(PB06b)_L5,37.0,22.0
EPG(PB08)_L5,PEN_b(PB06b)_L6,16.833333333333332,24.125
EPG(PB08)_L5,PEN_b(PB06b)_L7,3.5,4.375
EPG(PB08)_L5,PEN_b(PB06b)_L8,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_L9,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_R2,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_R3,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_R4,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_R5,2.0,5.625
EPG(PB08)_L5,PEN_b(PB06b)_R6,22.333333333333332,28.0
EPG(PB08)_L5,PEN_b(PB06b)_R7,0.0,0.125
EPG(PB08)_L5,PEN_b(PB06b)_R8,0.0,0.0
EPG(PB08)_L5,PEN_b(PB06b)_R9,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L2,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L3,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L4,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L5,0.0,1.375
EPG(PB08)_L6,PEN_b(PB06b)_L6,14.5,22.0
EPG(PB08)_L6,PEN_b(PB06b)_L7,34.333333333333336,24.125
EPG(PB08)_L6,PEN_b(PB06b)_L8,4.5,4.375
EPG(PB08)_L6,PEN_b(PB06b)_L9,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R2,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R3,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R4,7.5,5.625
EPG(PB08)_L6,PEN_b(PB06b)_R5,38.666666666666664,28.0
EPG(PB08)_L6,PEN_b(PB06b)_R6,0.0,0.125
EPG(PB08)_L6,PEN_b(PB06b)_R7,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R8,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R9,0.0,0.0
EPG(PB08)_L7,PEN_b(PB06b)_L2,0.0,0.0
EPG(PB08)_L7,PEN_b(PB06b)_L3,0.0,0.0
EPG(PB08)_L7,PEN_b(PB06b)_L4,0.0,0.0
EPG(PB08)_L7,PEN_b(PB06b)_L5,0.0,0.0
EPG(PB08)_L7,PEN_b(PB06b)_L6,2.0,1.375
