instance_pre,Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,Delta7(PB15)_L7R2_L,Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,EPG(PB08)_L2,EPG(PB08)_L3,EPG(PB08)_L4,EPG(PB08)_L5,EPG(PB08)_L6,EPG(PB08)_L7,EPG(PB08)_L8,EPG(PB08)_R1,EPG(PB08)_R2,EPG(PB08)_R3,EPG(PB08)_R4,EPG(PB08)_R5,EPG(PB08)_R6,EPG(PB08)_R7,EPG(PB08)_R8,PEG(PB07)_L1,PEG(PB07)_L2,PEG(PB07)_L3,PEG(PB07)_L4,PEG(PB07)_L5,PEG(PB07)_L6,PEG(PB07)_L7,PEG(PB07)_L8,PEG(PB07)_L9,PEG(PB07)_R1,PEG(PB07)_R2,PEG(PB07)_R3,PEG(PB07)_R4,PEG(PB07)_R5,PEG(PB07)_R6,PEG(PB07)_R7,PEG(PB07)_R8,PEG(PB07)_R9,PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,PEN_a(PB06a)_L7,PEN_a(PB06a)_L8,PEN_a(PB06a)_L9,PEN_a(PB06a)_R2,PEN_a(PB06a)_R3,PEN_a(PB06a)_R4,PEN_a(PB06a)_R5,PEN_a(PB06a)_R6,PEN_a(PB06a)_R7,PEN_a(PB06a)_R8,PEN_a(PB06a)_R9,PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,PEN_b(PB06b)_R2,PEN_b(PB06b)_R3,PEN_b(PB06b)_R4,PEN_b(PB06b)_R5,PEN_b(PB06b)_R6,PEN_b(PB06b)_R7,PEN_b(PB06b)_R8,PEN_b(PB06b)_R9
Delta7(PB15)_L1L9R8_R,0.0,8.44,11.45,20.68,19.88,17.96,11.8,8.28,22.1,4.875,1.0,1.6923076923076923,2.2222222222222223,1.6,1.0,1.6666666666666667,6.571428571428571,0.0,2.0714285714285716,1.9333333333333333,1.9,1.0,1.8333333333333333,19.2,47.4,10.0,0.0,2.2,2.0,2.0,1.0,1.0,34.4,8.8,0.0,3.5,1.5,1.5,1.0,7.0,62.2,8.0,6.75,1.0,1.5,1.0,1.0,1.0,3.0,15.4,0.0,1.75,1.0,1.5,1.0,3.5,24.8,1.0,13.5,1.0,1.0,0.0,1.0,0.0,3.0,50.4,1.0,1.0,1.0,2.0,0.0,9.0,88.2,4.2
Delta7(PB15)_L2R7_R,7.56,0.0,8.727272727272727,13.28,16.423076923076923,15.384615384615385,14.6,13.16,7.333333333333333,17.5,10.444444444444445,1.4,1.25,1.0,1.0,1.0,1.3333333333333333,1.0,2.7142857142857144,2.466666666666667,1.75,2.4,17.933333333333334,1.875,9.333333333333334,44.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.4,2.6,1.3333333333333333,1.3333333333333333,48.8,7.0,0.0,28.0,12.666666666666666,1.5,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.5,20.4,3.0,0.0,74.16666666666667,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,1.0,2.0,8.666666666666666,84.6,9.333333333333334,0.0
Delta7(PB15)_L3R6_R,12.85,11.19047619047619,0.0,8.05,13.3,14.904761904761905,16.166666666666668,19.05,1.0,5.6,19.833333333333332,3.875,1.0,1.0,1.0,1.0,2.2,1.4,4.181818181818182,2.111111111111111,1.25,16.583333333333332,4.8,1.25,0.0,8.0,75.25,9.0,1.0,1.0,0.0,0.0,0.0,1.75,1.0,4.0,1.0,3.0,45.0,15.0,0.0,0.0,10.0,21.75,2.3333333333333335,0.0,0.0,0.0,1.0,0.0,2.0,2.6666666666666665,0.0,0.0,22.0,7.666666666666667,0.0,0.0,14.0,123.25,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,61.0,15.5,2.0,0.0
Delta7(PB15)_L4R5_R,20.923076923076923,16.26923076923077,9.95,0.0,9.296296296296296,16.384615384615383,18.866666666666667,19.72,2.0,1.8571428571428572,1.0,15.8125,7.444444444444445,1.0,1.25,1.0,1.8333333333333333,1.2857142857142858,1.9090909090909092,1.8333333333333333,19.733333333333334,7.666666666666667,1.0,1.3333333333333333,1.0,1.5,1.0,41.5,20.5,1.0,1.0,0.0,0.0,1.5,0.0,1.75,3.4,67.0,13.0,0.0,1.0,1.0,1.0,0.0,24.272727272727273,7.0,0.0,0.0,0.0,0.0,1.5,1.0,2.75,29.0,7.714285714285714,1.0,1.0,0.0,0.0,0.0,57.18181818181818,21.75,0.0,0.0,0.0,0.0,1.0,1.0,3.8,124.0,15.875,1.0,1.0,0.0
Delta7(PB15)_L5R4_L,17.0,13.28,11.0,8.115384615384615,0.0,7.12,10.6,13.56,2.0,2.5,2.0,4.333333333333333,19.8,6.4,1.0,0.0,1.75,1.0,1.25,11.133333333333333,3.727272727272727,1.0,1.5,1.4285714285714286,2.0,2.8,2.5,7.5,57.2,8.0,0.0,0.0,1.0,1.5,1.6666666666666667,1.3333333333333333,31.2,7.2,1.0,1.0,1.3333333333333333,0.0,1.0,0.0,3.1666666666666665,20.0,5.25,1.0,0.0,1.0,1.0,1.5,15.7,1.5,0.0,1.0,1.0,0.0,1.5,1.3333333333333333,6.166666666666667,97.0,17.6,1.0,0.0,0.0,2.0,3.0,54.1,14.75,1.0,1.0,2.0,0.0
Delta7(PB15)_L6R3_L,16.92,14.8,15.7,14.2,9.44,0.0,8.6875,11.666666666666666,1.4,2.625,2.769230769230769,1.1666666666666667,1.1666666666666667,12.0,9.333333333333334,2.0,1.0,3.3333333333333335,19.466666666666665,7.375,1.3333333333333333,1.0,1.1666666666666667,1.25,2.0,2.5,2.8,1.0,3.0,27.4,14.0,1.0,0.0,0.0,8.25,69.2,12.6,1.0,1.0,1.0,1.0,0.0,1.3333333333333333,1.2,1.0,3.0,9.2,2.75,1.0,0.0,5.2,22.8,4.5,0.0,1.0,0.0,1.0,0.0,1.75,1.5,1.0,1.5,23.8,20.0,0.0,0.0,26.8,82.83333333333333,9.4,1.0,0.0,1.0,0.0,0.0
Delta7(PB15)_L7R2_L,10.2,13.333333333333334,15.333333333333334,13.133333333333333,12.6,10.533333333333333,0.0,7.928571428571429,1.0,1.6,2.5555555555555554,2.5,1.0,1.0,17.666666666666668,1.5,4.0,32.166666666666664,2.75,1.0,1.8333333333333333,1.0,1.1666666666666667,1.0,2.0,2.0,2.6666666666666665,1.5,1.0,6.0,29.0,5.0,0.0,3.0,56.0,9.5,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.666666666666666,0.0,0.0,22.0,2.0,0.0,1.0,1.5,1.0,0.0,0.0,1.0,1.3333333333333333,1.0,0.0,3.0,52.666666666666664,1.5,0.0,101.33333333333333,13.0,1.0,1.0,1.0,0.0,0.0,0.0
Delta7(PB15)_L8R1R9_L,8.68,11.96,18.7,15.2,17.0,8.16,8.428571428571429,0.0,4.0,1.3333333333333333,1.7692307692307692,1.5,1.3333333333333333,1.0,3.75,18.45,22.6,6.555555555555555,1.2857142857142858,1.8333333333333333,2.3846153846153846,1.4545454545454546,1.125,2.3333333333333335,7.6,1.5,1.6,1.0,1.0,0.0,4.333333333333333,38.0,4.0,51.0,13.4,1.5,1.0,1.0,1.0,1.5,3.75,59.4,0.0,1.0,1.1428571428571428,0.0,0.0,2.0,14.2,0.0,4.25,1.0,0.0,1.0,1.0,1.0,5.75,19.2,0.0,1.25,1.4,0.0,0.0,5.666666666666667,52.8,1.0,7.4,1.0,1.0,1.3333333333333333,1.0,0.0,10.666666666666666,68.8
EPG(PB08)_L1,3.75,2.0,8.875,19.9,29.0,19.9,8.5,1.25,0.0,5.8,1.25,1.0,2.0,0.0,1.25,4.8,18.428571428571427,1.0,0.0,0.0,0.0,0.0,2.5,16.0,35.0,4.8,5.5,1.0,1.5,1.5,5.5,1.0,5.75,13.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,22.5,21.0,1.5,0.0,0.0,0.0,0.0,3.5,36.5,1.0,0.0,0.0,0.0,0.0,1.0,21.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335
EPG(PB08)_L2,1.6666666666666667,3.0,1.8333333333333333,13.1,19.7,18.9,14.666666666666666,3.5,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,19.333333333333332,16.625,0.0,43.333333333333336,1.0,5.0,2.0,5.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,19.5,23.0,9.25,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,11.5,24.5,20.666666666666668,33.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.5
