instance_pre,instance_post,mean_syn_cnt,cs_weight
PEG(PB07)_L1,Delta7(PB15)_L1L9R8_R,1.0,0.25
PEG(PB07)_L1,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_L1,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_L1,Delta7(PB15)_L4R5_R,0.0,0.125
PEG(PB07)_L1,Delta7(PB15)_L5R4_L,1.0,0.25
PEG(PB07)_L1,Delta7(PB15)_L6R3_L,0.0,0.375
PEG(PB07)_L1,Delta7(PB15)_L7R2_L,0.0,0.125
PEG(PB07)_L1,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEG(PB07)_L2,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_L2,Delta7(PB15)_L2R7_R,0.0,0.25
PEG(PB07)_L2,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_L2,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_L2,Delta7(PB15)_L5R4_L,0.0,0.125
PEG(PB07)_L2,Delta7(PB15)_L6R3_L,0.0,0.25
PEG(PB07)_L2,Delta7(PB15)_L7R2_L,0.0,0.375
PEG(PB07)_L2,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEG(PB07)_L3,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEG(PB07)_L3,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_L3,Delta7(PB15)_L3R6_R,0.0,0.25
PEG(PB07)_L3,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_L3,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_L3,Delta7(PB15)_L6R3_L,0.0,0.125
PEG(PB07)_L3,Delta7(PB15)_L7R2_L,0.0,0.25
PEG(PB07)_L3,Delta7(PB15)_L8R1R9_L,0.0,0.375
PEG(PB07)_L4,Delta7(PB15)_L1L9R8_R,0.0,0.375
PEG(PB07)_L4,Delta7(PB15)_L2R7_R,1.0,0.125
PEG(PB07)_L4,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_L4,Delta7(PB15)_L4R5_R,0.0,0.25
PEG(PB07)_L4,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_L4,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_L4,Delta7(PB15)_L7R2_L,0.0,0.125
PEG(PB07)_L4,Delta7(PB15)_L8R1R9_L,0.0,0.25
PEG(PB07)_L5,Delta7(PB15)_L1L9R8_R,0.0,0.25
PEG(PB07)_L5,Delta7(PB15)_L2R7_R,0.0,0.375
PEG(PB07)_L5,Delta7(PB15)_L3R6_R,0.0,0.125
PEG(PB07)_L5,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_L5,Delta7(PB15)_L5R4_L,0.0,0.25
PEG(PB07)_L5,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_L5,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_L5,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEG(PB07)_L6,Delta7(PB15)_L1L9R8_R,1.0,0.125
PEG(PB07)_L6,Delta7(PB15)_L2R7_R,1.0,0.25
PEG(PB07)_L6,Delta7(PB15)_L3R6_R,1.0,0.375
PEG(PB07)_L6,Delta7(PB15)_L4R5_R,0.0,0.125
PEG(PB07)_L6,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_L6,Delta7(PB15)_L6R3_L,0.0,0.25
PEG(PB07)_L6,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_L6,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEG(PB07)_L7,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_L7,Delta7(PB15)_L2R7_R,0.0,0.125
PEG(PB07)_L7,Delta7(PB15)_L3R6_R,0.0,0.25
PEG(PB07)_L7,Delta7(PB15)_L4R5_R,1.0,0.375
PEG(PB07)_L7,Delta7(PB15)_L5R4_L,0.0,0.125
PEG(PB07)_L7,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_L7,Delta7(PB15)_L7R2_L,1.0,0.25
PEG(PB07)_L7,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEG(PB07)_L8,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_L8,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_L8,Delta7(PB15)_L3R6_R,0.0,0.125
PEG(PB07)_L8,Delta7(PB15)_L4R5_R,0.0,0.25
PEG(PB07)_L8,Delta7(PB15)_L5R4_L,1.0,0.375
PEG(PB07)_L8,Delta7(PB15)_L6R3_L,0.0,0.125
PEG(PB07)_L8,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_L8,Delta7(PB15)_L8R1R9_L,0.0,0.25
PEG(PB07)_R1,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_R1,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_R1,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_R1,Delta7(PB15)_L4R5_R,0.0,0.125
PEG(PB07)_R1,Delta7(PB15)_L5R4_L,0.0,0.125
PEG(PB07)_R1,Delta7(PB15)_L6R3_L,0.0,0.125
PEG(PB07)_R1,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_R1,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEG(PB07)_R2,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_R2,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_R2,Delta7(PB15)_L3R6_R,0.0,0.125
PEG(PB07)_R2,Delta7(PB15)_L4R5_R,0.0,0.125
PEG(PB07)_R2,Delta7(PB15)_L5R4_L,0.0,0.125
PEG(PB07)_R2,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_R2,Delta7(PB15)_L7R2_L,0.0,0.125
PEG(PB07)_R2,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEG(PB07)_R3,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_R3,Delta7(PB15)_L2R7_R,0.0,0.125
PEG(PB07)_R3,Delta7(PB15)_L3R6_R,0.0,0.125
PEG(PB07)_R3,Delta7(PB15)_L4R5_R,0.0,0.125
PEG(PB07)_R3,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_R3,Delta7(PB15)_L6R3_L,0.0,0.125
PEG(PB07)_R3,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_R3,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEG(PB07)_R4,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEG(PB07)_R4,Delta7(PB15)_L2R7_R,0.0,0.125
PEG(PB07)_R4,Delta7(PB15)_L3R6_R,0.0,0.125
PEG(PB07)_R4,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_R4,Delta7(PB15)_L5R4_L,0.0,0.125
PEG(PB07)_R4,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_R4,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_R4,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEG(PB07)_R5,Delta7(PB15)_L1L9R8_R,1.0,0.125
PEG(PB07)_R5,Delta7(PB15)_L2R7_R,1.0,0.125
PEG(PB07)_R5,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_R5,Delta7(PB15)_L4R5_R,0.0,0.125
PEG(PB07)_R5,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_R5,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_R5,Delta7(PB15)_L7R2_L,0.0,0.0
PEG(PB07)_R5,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEG(PB07)_R6,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEG(PB07)_R6,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_R6,Delta7(PB15)_L3R6_R,0.0,0.125
PEG(PB07)_R6,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_R6,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_R6,Delta7(PB15)_L6R3_L,0.0,0.0
PEG(PB07)_R6,Delta7(PB15)_L7R2_L,0.0,0.125
PEG(PB07)_R6,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEG(PB07)_R7,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEG(PB07)_R7,Delta7(PB15)_L2R7_R,0.0,0.125
PEG(PB07)_R7,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_R7,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_R7,Delta7(PB15)_L5R4_L,0.0,0.0
PEG(PB07)_R7,Delta7(PB15)_L6R3_L,0.0,0.125
PEG(PB07)_R7,Delta7(PB15)_L7R2_L,0.0,0.125
PEG(PB07)_R7,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEG(PB07)_R8,Delta7(PB15)_L1L9R8_R,1.0,0.125
PEG(PB07)_R8,Delta7(PB15)_L2R7_R,0.0,0.0
PEG(PB07)_R8,Delta7(PB15)_L3R6_R,0.0,0.0
PEG(PB07)_R8,Delta7(PB15)_L4R5_R,0.0,0.0
PEG(PB07)_R8,Delta7(PB15)_L5R4_L,1.0,0.125
PEG(PB07)_R8,Delta7(PB15)_L6R3_L,0.0,0.125
PEG(PB07)_R8,Delta7(PB15)_L7R2_L,0.0,0.125
PEG(PB07)_R8,Delta7(PB15)_L8R1R9_L,0.0,0.0
