instance_pre,instance_post,mean_syn_cnt,cs_weight
PEG(PB07)_L1,EPG(PB08)_L1,2.8,2.125
PEG(PB07)_L1,EPG(PB08)_L2,0.0,0.5
PEG(PB07)_L1,EPG(PB08)_L3,1.3333333333333333,1.125
PEG(PB07)_L1,EPG(PB08)_L4,0.0,0.25
PEG(PB07)_L1,EPG(PB08)_L5,1.6666666666666667,1.5
PEG(PB07)_L1,EPG(PB08)_L6,0.0,0.125
PEG(PB07)_L1,EPG(PB08)_L7,1.0,1.375
PEG(PB07)_L1,EPG(PB08)_L8,0.0,0.875
PEG(PB07)_L1,EPG(PB08)_R1,2.5,2.0
PEG(PB07)_L1,EPG(PB08)_R2,0.0,0.125
PEG(PB07)_L1,EPG(PB08)_R3,0.0,0.0
PEG(PB07)_L1,EPG(PB08)_R4,0.0,0.0
PEG(PB07)_L1,EPG(PB08)_R5,0.0,0.0
PEG(PB07)_L1,EPG(PB08)_R6,0.0,0.0
PEG(PB07)_L1,EPG(PB08)_R7,0.0,0.0
PEG(PB07)_L1,EPG(PB08)_R8,0.0,1.25
PEG(PB07)_L2,EPG(PB08)_L1,0.0,0.875
PEG(PB07)_L2,EPG(PB08)_L2,2.0,2.125
PEG(PB07)_L2,EPG(PB08)_L3,1.0,0.5
PEG(PB07)_L2,EPG(PB08)_L4,1.0,1.125
PEG(PB07)_L2,EPG(PB08)_L5,0.0,0.25
PEG(PB07)_L2,EPG(PB08)_L6,2.0,1.5
PEG(PB07)_L2,EPG(PB08)_L7,0.0,0.125
PEG(PB07)_L2,EPG(PB08)_L8,1.6666666666666667,1.375
PEG(PB07)_L2,EPG(PB08)_R1,0.0,0.125
PEG(PB07)_L2,EPG(PB08)_R2,0.0,0.0
PEG(PB07)_L2,EPG(PB08)_R3,0.0,0.0
PEG(PB07)_L2,EPG(PB08)_R4,0.0,0.0
PEG(PB07)_L2,EPG(PB08)_R5,0.0,0.0
PEG(PB07)_L2,EPG(PB08)_R6,0.0,0.0
PEG(PB07)_L2,EPG(PB08)_R7,3.0,1.25
PEG(PB07)_L2,EPG(PB08)_R8,2.5,2.0
PEG(PB07)_L3,EPG(PB08)_L1,2.0,1.375
PEG(PB07)_L3,EPG(PB08)_L2,1.0,0.875
PEG(PB07)_L3,EPG(PB08)_L3,2.5,2.125
PEG(PB07)_L3,EPG(PB08)_L4,1.0,0.5
PEG(PB07)_L3,EPG(PB08)_L5,1.0,1.125
PEG(PB07)_L3,EPG(PB08)_L6,2.0,0.25
PEG(PB07)_L3,EPG(PB08)_L7,2.0,1.5
