instance_pre,instance_post,mean_syn_cnt,cs_weight
PEG(PB07)_L2,PEN_b(PB06b)_L2,1.0,1.0
PEG(PB07)_L2,PEN_b(PB06b)_L3,31.0,26.0
PEG(PB07)_L2,PEN_b(PB06b)_L4,2.0,1.25
PEG(PB07)_L2,PEN_b(PB06b)_L5,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_L6,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_L7,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_L8,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_L9,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_R2,1.0,0.375
PEG(PB07)_L2,PEN_b(PB06b)_R3,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_R4,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_R5,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_R6,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_R7,0.0,0.0
PEG(PB07)_L2,PEN_b(PB06b)_R8,2.0,2.125
PEG(PB07)_L2,PEN_b(PB06b)_R9,31.0,26.125
PEG(PB07)_L3,PEN_b(PB06b)_L2,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_L3,0.0,1.0
PEG(PB07)_L3,PEN_b(PB06b)_L4,25.5,26.0
PEG(PB07)_L3,PEN_b(PB06b)_L5,0.0,1.25
PEG(PB07)_L3,PEN_b(PB06b)_L6,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_L7,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_L8,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_L9,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_R2,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_R3,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_R4,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_R5,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_R6,0.0,0.0
PEG(PB07)_L3,PEN_b(PB06b)_R7,0.0,2.125
PEG(PB07)_L3,PEN_b(PB06b)_R8,33.0,26.125
PEG(PB07)_L3,PEN_b(PB06b)_R9,0.0,0.375
PEG(PB07)_L4,PEN_b(PB06b)_L2,0.0,0.0
PEG(PB07)_L4,PEN_b(PB06b)_L3,0.0,0.0
PEG(PB07)_L4,PEN_b(PB06b)_L4,1.3333333333333333,1.0
PEG(PB07)_L4,PEN_b(PB06b)_L5,35.0,26.0
PEG(PB07)_L4,PEN_b(PB06b)_L6,2.0,1.25
PEG(PB07)_L4,PEN_b(PB06b)_L7,0.0,0.0
PEG(PB07)_L4,PEN_b(PB06b)_L8,0.0,0.0
PEG(PB07)_L4,PEN_b(PB06b)_L9,0.0,0.0
PEG(PB07)_L4,PEN_b(PB06b)_R2,0.0,0.0
