instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_a(PB06a)_L2,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_L2,Delta7(PB15)_L2R7_R,0.0,0.125
PEN_a(PB06a)_L2,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_L2,Delta7(PB15)_L4R5_R,0.0,0.25
PEN_a(PB06a)_L2,Delta7(PB15)_L5R4_L,0.0,0.25
PEN_a(PB06a)_L2,Delta7(PB15)_L6R3_L,0.0,0.125
PEN_a(PB06a)_L2,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_L2,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_L3,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_L3,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_L3,Delta7(PB15)_L3R6_R,0.0,0.125
PEN_a(PB06a)_L3,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_L3,Delta7(PB15)_L5R4_L,0.0,0.25
PEN_a(PB06a)_L3,Delta7(PB15)_L6R3_L,1.0,0.25
PEN_a(PB06a)_L3,Delta7(PB15)_L7R2_L,0.0,0.125
PEN_a(PB06a)_L3,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_L4,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_L4,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_L4,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_L4,Delta7(PB15)_L4R5_R,0.0,0.125
PEN_a(PB06a)_L4,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_L4,Delta7(PB15)_L6R3_L,1.0,0.25
PEN_a(PB06a)_L4,Delta7(PB15)_L7R2_L,0.0,0.25
PEN_a(PB06a)_L4,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEN_a(PB06a)_L5,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEN_a(PB06a)_L5,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_L5,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_L5,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_L5,Delta7(PB15)_L5R4_L,0.0,0.125
PEN_a(PB06a)_L5,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_L5,Delta7(PB15)_L7R2_L,0.0,0.25
PEN_a(PB06a)_L5,Delta7(PB15)_L8R1R9_L,0.0,0.25
PEN_a(PB06a)_L6,Delta7(PB15)_L1L9R8_R,0.0,0.25
PEN_a(PB06a)_L6,Delta7(PB15)_L2R7_R,0.0,0.125
PEN_a(PB06a)_L6,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_L6,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_L6,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_L6,Delta7(PB15)_L6R3_L,0.0,0.125
PEN_a(PB06a)_L6,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_L6,Delta7(PB15)_L8R1R9_L,0.0,0.25
PEN_a(PB06a)_L7,Delta7(PB15)_L1L9R8_R,1.0,0.25
PEN_a(PB06a)_L7,Delta7(PB15)_L2R7_R,1.0,0.25
PEN_a(PB06a)_L7,Delta7(PB15)_L3R6_R,1.0,0.125
PEN_a(PB06a)_L7,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_L7,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_L7,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_L7,Delta7(PB15)_L7R2_L,0.0,0.125
PEN_a(PB06a)_L7,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_L8,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_L8,Delta7(PB15)_L2R7_R,0.0,0.25
PEN_a(PB06a)_L8,Delta7(PB15)_L3R6_R,0.0,0.25
PEN_a(PB06a)_L8,Delta7(PB15)_L4R5_R,0.0,0.125
PEN_a(PB06a)_L8,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_L8,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_L8,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_L8,Delta7(PB15)_L8R1R9_L,1.0,0.125
PEN_a(PB06a)_L9,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEN_a(PB06a)_L9,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_L9,Delta7(PB15)_L3R6_R,0.0,0.25
PEN_a(PB06a)_L9,Delta7(PB15)_L4R5_R,0.0,0.25
PEN_a(PB06a)_L9,Delta7(PB15)_L5R4_L,0.0,0.125
PEN_a(PB06a)_L9,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_L9,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_L9,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_R2,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_R2,Delta7(PB15)_L2R7_R,0.0,0.125
PEN_a(PB06a)_R2,Delta7(PB15)_L3R6_R,0.0,0.125
PEN_a(PB06a)_R2,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_R2,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_R2,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_R2,Delta7(PB15)_L7R2_L,0.0,0.125
PEN_a(PB06a)_R2,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_R3,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEN_a(PB06a)_R3,Delta7(PB15)_L2R7_R,0.0,0.125
PEN_a(PB06a)_R3,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_R3,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_R3,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_R3,Delta7(PB15)_L6R3_L,1.0,0.125
PEN_a(PB06a)_R3,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_R3,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_R4,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEN_a(PB06a)_R4,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_R4,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_R4,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_R4,Delta7(PB15)_L5R4_L,0.0,0.125
PEN_a(PB06a)_R4,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_R4,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_R4,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEN_a(PB06a)_R5,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_R5,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_R5,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_R5,Delta7(PB15)_L4R5_R,0.0,0.125
PEN_a(PB06a)_R5,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_R5,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_R5,Delta7(PB15)_L7R2_L,1.0,0.125
PEN_a(PB06a)_R5,Delta7(PB15)_L8R1R9_L,0.0,0.125
PEN_a(PB06a)_R6,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_R6,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_R6,Delta7(PB15)_L3R6_R,0.0,0.125
PEN_a(PB06a)_R6,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_R6,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_R6,Delta7(PB15)_L6R3_L,0.0,0.125
PEN_a(PB06a)_R6,Delta7(PB15)_L7R2_L,0.0,0.125
PEN_a(PB06a)_R6,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_R7,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_R7,Delta7(PB15)_L2R7_R,0.0,0.125
PEN_a(PB06a)_R7,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_R7,Delta7(PB15)_L4R5_R,0.0,0.0
PEN_a(PB06a)_R7,Delta7(PB15)_L5R4_L,0.0,0.125
PEN_a(PB06a)_R7,Delta7(PB15)_L6R3_L,1.0,0.125
PEN_a(PB06a)_R7,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_R7,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_R8,Delta7(PB15)_L1L9R8_R,0.0,0.125
PEN_a(PB06a)_R8,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_R8,Delta7(PB15)_L3R6_R,0.0,0.0
PEN_a(PB06a)_R8,Delta7(PB15)_L4R5_R,0.0,0.125
PEN_a(PB06a)_R8,Delta7(PB15)_L5R4_L,0.0,0.125
PEN_a(PB06a)_R8,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_R8,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_R8,Delta7(PB15)_L8R1R9_L,0.0,0.0
PEN_a(PB06a)_R9,Delta7(PB15)_L1L9R8_R,0.0,0.0
PEN_a(PB06a)_R9,Delta7(PB15)_L2R7_R,0.0,0.0
PEN_a(PB06a)_R9,Delta7(PB15)_L3R6_R,0.0,0.125
PEN_a(PB06a)_R9,Delta7(PB15)_L4R5_R,0.0,0.125
PEN_a(PB06a)_R9,Delta7(PB15)_L5R4_L,0.0,0.0
PEN_a(PB06a)_R9,Delta7(PB15)_L6R3_L,0.0,0.0
PEN_a(PB06a)_R9,Delta7(PB15)_L7R2_L,0.0,0.0
PEN_a(PB06a)_R9,Delta7(PB15)_L8R1R9_L,0.0,0.125
