instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_a(PB06a)_L2,EPG(PB08)_L1,110.0,70.5
PEN_a(PB06a)_L2,EPG(PB08)_L2,14.0,10.125
PEN_a(PB06a)_L2,EPG(PB08)_L3,1.0,0.75
PEN_a(PB06a)_L2,EPG(PB08)_L4,0.0,0.125
PEN_a(PB06a)_L2,EPG(PB08)_L5,0.0,0.0
PEN_a(PB06a)_L2,EPG(PB08)_L6,0.0,0.0
PEN_a(PB06a)_L2,EPG(PB08)_L7,6.5,4.125
PEN_a(PB06a)_L2,EPG(PB08)_L8,29.0,39.0
PEN_a(PB06a)_L2,EPG(PB08)_R1,87.5,69.125
PEN_a(PB06a)_L2,EPG(PB08)_R2,12.5,13.875
PEN_a(PB06a)_L2,EPG(PB08)_R3,0.0,1.0
PEN_a(PB06a)_L2,EPG(PB08)_R4,0.0,0.0
PEN_a(PB06a)_L2,EPG(PB08)_R5,0.0,0.0
PEN_a(PB06a)_L2,EPG(PB08)_R6,0.0,0.0
PEN_a(PB06a)_L2,EPG(PB08)_R7,4.333333333333333,3.125
PEN_a(PB06a)_L2,EPG(PB08)_R8,32.75,42.375
PEN_a(PB06a)_L3,EPG(PB08)_L1,68.0,39.0
PEN_a(PB06a)_L3,EPG(PB08)_L2,83.5,70.5
PEN_a(PB06a)_L3,EPG(PB08)_L3,7.5,10.125
PEN_a(PB06a)_L3,EPG(PB08)_L4,0.0,0.75
PEN_a(PB06a)_L3,EPG(PB08)_L5,0.0,0.125
PEN_a(PB06a)_L3,EPG(PB08)_L6,0.0,0.0
PEN_a(PB06a)_L3,EPG(PB08)_L7,0.0,0.0
PEN_a(PB06a)_L3,EPG(PB08)_L8,4.0,4.125
PEN_a(PB06a)_L3,EPG(PB08)_R1,18.0,13.875
PEN_a(PB06a)_L3,EPG(PB08)_R2,0.0,1.0
PEN_a(PB06a)_L3,EPG(PB08)_R3,0.0,0.0
PEN_a(PB06a)_L3,EPG(PB08)_R4,0.0,0.0
PEN_a(PB06a)_L3,EPG(PB08)_R5,0.0,0.0
PEN_a(PB06a)_L3,EPG(PB08)_R6,3.5,3.125
PEN_a(PB06a)_L3,EPG(PB08)_R7,48.0,42.375
PEN_a(PB06a)_L3,EPG(PB08)_R8,66.75,69.125
PEN_a(PB06a)_L4,EPG(PB08)_L1,9.25,4.125
PEN_a(PB06a)_L4,EPG(PB08)_L2,33.0,39.0
PEN_a(PB06a)_L4,EPG(PB08)_L3,53.333333333333336,70.5
PEN_a(PB06a)_L4,EPG(PB08)_L4,6.0,10.125
PEN_a(PB06a)_L4,EPG(PB08)_L5,0.0,0.75
PEN_a(PB06a)_L4,EPG(PB08)_L6,0.0,0.125
PEN_a(PB06a)_L4,EPG(PB08)_L7,0.0,0.0
PEN_a(PB06a)_L4,EPG(PB08)_L8,0.0,0.0
PEN_a(PB06a)_L4,EPG(PB08)_R1,3.0,1.0
PEN_a(PB06a)_L4,EPG(PB08)_R2,0.0,0.0
PEN_a(PB06a)_L4,EPG(PB08)_R3,0.0,0.0
PEN_a(PB06a)_L4,EPG(PB08)_R4,0.0,0.0
PEN_a(PB06a)_L4,EPG(PB08)_R5,1.0,3.125
PEN_a(PB06a)_L4,EPG(PB08)_R6,27.166666666666668,42.375
PEN_a(PB06a)_L4,EPG(PB08)_R7,50.666666666666664,69.125
PEN_a(PB06a)_L4,EPG(PB08)_R8,13.25,13.875
PEN_a(PB06a)_L5,EPG(PB08)_L1,0.0,0.0
PEN_a(PB06a)_L5,EPG(PB08)_L2,1.0,4.125
PEN_a(PB06a)_L5,EPG(PB08)_L3,40.666666666666664,39.0
PEN_a(PB06a)_L5,EPG(PB08)_L4,60.333333333333336,70.5
PEN_a(PB06a)_L5,EPG(PB08)_L5,8.0,10.125
PEN_a(PB06a)_L5,EPG(PB08)_L6,0.0,0.75
PEN_a(PB06a)_L5,EPG(PB08)_L7,0.0,0.125
PEN_a(PB06a)_L5,EPG(PB08)_L8,0.0,0.0
PEN_a(PB06a)_L5,EPG(PB08)_R1,0.0,0.0
PEN_a(PB06a)_L5,EPG(PB08)_R2,0.0,0.0
PEN_a(PB06a)_L5,EPG(PB08)_R3,0.0,0.0
PEN_a(PB06a)_L5,EPG(PB08)_R4,3.0,3.125
PEN_a(PB06a)_L5,EPG(PB08)_R5,33.666666666666664,42.375
PEN_a(PB06a)_L5,EPG(PB08)_R6,61.333333333333336,69.125
PEN_a(PB06a)_L5,EPG(PB08)_R7,8.0,13.875
PEN_a(PB06a)_L5,EPG(PB08)_R8,2.0,1.0
PEN_a(PB06a)_L6,EPG(PB08)_L1,0.0,0.0
PEN_a(PB06a)_L6,EPG(PB08)_L2,0.0,0.0
PEN_a(PB06a)_L6,EPG(PB08)_L3,3.0,4.125
PEN_a(PB06a)_L6,EPG(PB08)_L4,21.0,39.0
PEN_a(PB06a)_L6,EPG(PB08)_L5,30.166666666666668,70.5
