instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_a(PB06a)_L2,PEN_a(PB06a)_L2,0.0,0.0
PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,13.5,9.5
PEN_a(PB06a)_L2,PEN_a(PB06a)_L4,12.0,19.25
PEN_a(PB06a)_L2,PEN_a(PB06a)_L5,13.0,15.625
PEN_a(PB06a)_L2,PEN_a(PB06a)_L6,19.0,16.75
PEN_a(PB06a)_L2,PEN_a(PB06a)_L7,18.0,15.0
PEN_a(PB06a)_L2,PEN_a(PB06a)_L8,24.0,16.875
PEN_a(PB06a)_L2,PEN_a(PB06a)_L9,11.5,9.75
PEN_a(PB06a)_L2,PEN_a(PB06a)_R2,13.0,10.75
PEN_a(PB06a)_L2,PEN_a(PB06a)_R3,1.0,2.0
PEN_a(PB06a)_L2,PEN_a(PB06a)_R4,0.0,0.125
PEN_a(PB06a)_L2,PEN_a(PB06a)_R5,0.0,0.0
PEN_a(PB06a)_L2,PEN_a(PB06a)_R6,0.0,0.0
PEN_a(PB06a)_L2,PEN_a(PB06a)_R7,0.0,0.0
PEN_a(PB06a)_L2,PEN_a(PB06a)_R8,1.0,0.125
PEN_a(PB06a)_L2,PEN_a(PB06a)_R9,0.0,2.25
PEN_a(PB06a)_L3,PEN_a(PB06a)_L2,15.5,9.75
PEN_a(PB06a)_L3,PEN_a(PB06a)_L3,0.0,0.0
PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,6.75,9.5
PEN_a(PB06a)_L3,PEN_a(PB06a)_L5,13.0,19.25
PEN_a(PB06a)_L3,PEN_a(PB06a)_L6,9.5,15.625
PEN_a(PB06a)_L3,PEN_a(PB06a)_L7,20.0,16.75
PEN_a(PB06a)_L3,PEN_a(PB06a)_L8,18.0,15.0
PEN_a(PB06a)_L3,PEN_a(PB06a)_L9,15.0,16.875
PEN_a(PB06a)_L3,PEN_a(PB06a)_R2,2.0,2.0
PEN_a(PB06a)_L3,PEN_a(PB06a)_R3,0.0,0.125
PEN_a(PB06a)_L3,PEN_a(PB06a)_R4,0.0,0.0
PEN_a(PB06a)_L3,PEN_a(PB06a)_R5,0.0,0.0
PEN_a(PB06a)_L3,PEN_a(PB06a)_R6,0.0,0.0
PEN_a(PB06a)_L3,PEN_a(PB06a)_R7,0.0,0.125
PEN_a(PB06a)_L3,PEN_a(PB06a)_R8,3.0,2.25
PEN_a(PB06a)_L3,PEN_a(PB06a)_R9,11.0,10.75
PEN_a(PB06a)_L4,PEN_a(PB06a)_L2,15.5,16.875
PEN_a(PB06a)_L4,PEN_a(PB06a)_L3,7.5,9.75
PEN_a(PB06a)_L4,PEN_a(PB06a)_L4,0.0,0.0
PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,5.333333333333333,9.5
PEN_a(PB06a)_L4,PEN_a(PB06a)_L6,10.5,19.25
PEN_a(PB06a)_L4,PEN_a(PB06a)_L7,12.5,15.625
PEN_a(PB06a)_L4,PEN_a(PB06a)_L8,12.5,16.75
PEN_a(PB06a)_L4,PEN_a(PB06a)_L9,14.0,15.0
PEN_a(PB06a)_L4,PEN_a(PB06a)_R2,1.0,0.125
PEN_a(PB06a)_L4,PEN_a(PB06a)_R3,0.0,0.0
PEN_a(PB06a)_L4,PEN_a(PB06a)_R4,0.0,0.0
PEN_a(PB06a)_L4,PEN_a(PB06a)_R5,0.0,0.0
PEN_a(PB06a)_L4,PEN_a(PB06a)_R6,0.0,0.125
PEN_a(PB06a)_L4,PEN_a(PB06a)_R7,3.0,2.25
PEN_a(PB06a)_L4,PEN_a(PB06a)_R8,7.5,10.75
PEN_a(PB06a)_L4,PEN_a(PB06a)_R9,2.5,2.0
PEN_a(PB06a)_L5,PEN_a(PB06a)_L2,18.0,15.0
PEN_a(PB06a)_L5,PEN_a(PB06a)_L3,15.0,16.875
PEN_a(PB06a)_L5,PEN_a(PB06a)_L4,4.0,9.75
PEN_a(PB06a)_L5,PEN_a(PB06a)_L5,0.0,0.0
PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,4.666666666666667,9.5
PEN_a(PB06a)_L5,PEN_a(PB06a)_L7,13.0,19.25
PEN_a(PB06a)_L5,PEN_a(PB06a)_L8,9.0,15.625
PEN_a(PB06a)_L5,PEN_a(PB06a)_L9,15.0,16.75
PEN_a(PB06a)_L5,PEN_a(PB06a)_R2,0.0,0.0
PEN_a(PB06a)_L5,PEN_a(PB06a)_R3,0.0,0.0
PEN_a(PB06a)_L5,PEN_a(PB06a)_R4,0.0,0.0
PEN_a(PB06a)_L5,PEN_a(PB06a)_R5,0.0,0.125
PEN_a(PB06a)_L5,PEN_a(PB06a)_R6,0.0,2.25
