instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_a(PB06a)_L2,PEN_b(PB06b)_L2,8.0,7.25
PEN_a(PB06a)_L2,PEN_b(PB06b)_L3,9.0,5.25
PEN_a(PB06a)_L2,PEN_b(PB06b)_L4,12.5,11.375
PEN_a(PB06a)_L2,PEN_b(PB06b)_L5,8.0,6.0
PEN_a(PB06a)_L2,PEN_b(PB06b)_L6,6.0,8.5
PEN_a(PB06a)_L2,PEN_b(PB06b)_L7,4.0,6.75
PEN_a(PB06a)_L2,PEN_b(PB06b)_L8,16.0,9.875
PEN_a(PB06a)_L2,PEN_b(PB06b)_L9,11.5,7.25
PEN_a(PB06a)_L2,PEN_b(PB06b)_R2,4.0,7.375
PEN_a(PB06a)_L2,PEN_b(PB06b)_R3,0.0,0.5
PEN_a(PB06a)_L2,PEN_b(PB06b)_R4,0.0,0.0
PEN_a(PB06a)_L2,PEN_b(PB06b)_R5,0.0,0.0
PEN_a(PB06a)_L2,PEN_b(PB06b)_R6,0.0,0.0
PEN_a(PB06a)_L2,PEN_b(PB06b)_R7,0.0,0.0
PEN_a(PB06a)_L2,PEN_b(PB06b)_R8,0.0,0.0
PEN_a(PB06a)_L2,PEN_b(PB06b)_R9,2.0,1.25
PEN_a(PB06a)_L3,PEN_b(PB06b)_L2,7.0,7.25
PEN_a(PB06a)_L3,PEN_b(PB06b)_L3,9.0,7.25
PEN_a(PB06a)_L3,PEN_b(PB06b)_L4,7.0,5.25
PEN_a(PB06a)_L3,PEN_b(PB06b)_L5,12.0,11.375
PEN_a(PB06a)_L3,PEN_b(PB06b)_L6,4.0,6.0
PEN_a(PB06a)_L3,PEN_b(PB06b)_L7,11.0,8.5
PEN_a(PB06a)_L3,PEN_b(PB06b)_L8,15.0,6.75
PEN_a(PB06a)_L3,PEN_b(PB06b)_L9,5.5,9.875
PEN_a(PB06a)_L3,PEN_b(PB06b)_R2,2.0,0.5
PEN_a(PB06a)_L3,PEN_b(PB06b)_R3,0.0,0.0
PEN_a(PB06a)_L3,PEN_b(PB06b)_R4,0.0,0.0
PEN_a(PB06a)_L3,PEN_b(PB06b)_R5,0.0,0.0
