instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_b(PB06b)_L2,EPG(PB08)_L1,89.0,56.875
PEN_b(PB06b)_L2,EPG(PB08)_L2,2.5,1.5
PEN_b(PB06b)_L2,EPG(PB08)_L3,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_L4,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_L5,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_L6,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_L7,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_L8,9.333333333333334,15.375
PEN_b(PB06b)_L2,EPG(PB08)_R1,85.5,52.125
PEN_b(PB06b)_L2,EPG(PB08)_R2,2.0,2.875
PEN_b(PB06b)_L2,EPG(PB08)_R3,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_R4,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_R5,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_R6,0.0,0.0
PEN_b(PB06b)_L2,EPG(PB08)_R7,2.0,0.5
PEN_b(PB06b)_L2,EPG(PB08)_R8,15.75,18.25
PEN_b(PB06b)_L3,EPG(PB08)_L1,21.5,15.375
PEN_b(PB06b)_L3,EPG(PB08)_L2,67.5,56.875
PEN_b(PB06b)_L3,EPG(PB08)_L3,1.6666666666666667,1.5
PEN_b(PB06b)_L3,EPG(PB08)_L4,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_L5,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_L6,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_L7,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_L8,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_R1,0.0,2.875
PEN_b(PB06b)_L3,EPG(PB08)_R2,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_R3,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_R4,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_R5,0.0,0.0
PEN_b(PB06b)_L3,EPG(PB08)_R6,1.0,0.5
PEN_b(PB06b)_L3,EPG(PB08)_R7,35.0,18.25
PEN_b(PB06b)_L3,EPG(PB08)_R8,37.0,52.125
PEN_b(PB06b)_L4,EPG(PB08)_L1,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_L2,10.75,15.375
PEN_b(PB06b)_L4,EPG(PB08)_L3,52.333333333333336,56.875
PEN_b(PB06b)_L4,EPG(PB08)_L4,1.6666666666666667,1.5
PEN_b(PB06b)_L4,EPG(PB08)_L5,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_L6,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_L7,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_L8,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_R1,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_R2,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_R3,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_R4,0.0,0.0
PEN_b(PB06b)_L4,EPG(PB08)_R5,0.0,0.5
PEN_b(PB06b)_L4,EPG(PB08)_R6,15.166666666666666,18.25
PEN_b(PB06b)_L4,EPG(PB08)_R7,37.166666666666664,52.125
PEN_b(PB06b)_L4,EPG(PB08)_R8,5.0,2.875
PEN_b(PB06b)_L5,EPG(PB08)_L1,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_L2,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_L3,20.333333333333332,15.375
PEN_b(PB06b)_L5,EPG(PB08)_L4,45.333333333333336,56.875
PEN_b(PB06b)_L5,EPG(PB08)_L5,3.0,1.5
PEN_b(PB06b)_L5,EPG(PB08)_L6,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_L7,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_L8,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_R1,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_R2,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_R3,0.0,0.0
PEN_b(PB06b)_L5,EPG(PB08)_R4,1.0,0.5
PEN_b(PB06b)_L5,EPG(PB08)_R5,12.0,18.25
PEN_b(PB06b)_L5,EPG(PB08)_R6,60.333333333333336,52.125
PEN_b(PB06b)_L5,EPG(PB08)_R7,1.0,2.875
PEN_b(PB06b)_L5,EPG(PB08)_R8,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_L1,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_L2,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_L3,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_L4,8.166666666666666,15.375
PEN_b(PB06b)_L6,EPG(PB08)_L5,34.833333333333336,56.875
PEN_b(PB06b)_L6,EPG(PB08)_L6,1.0,1.5
PEN_b(PB06b)_L6,EPG(PB08)_L7,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_L8,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_R1,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_R2,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_R3,0.0,0.5
PEN_b(PB06b)_L6,EPG(PB08)_R4,11.0,18.25
PEN_b(PB06b)_L6,EPG(PB08)_R5,33.166666666666664,52.125
PEN_b(PB06b)_L6,EPG(PB08)_R6,1.5,2.875
PEN_b(PB06b)_L6,EPG(PB08)_R7,0.0,0.0
PEN_b(PB06b)_L6,EPG(PB08)_R8,0.0,0.0
PEN_b(PB06b)_L7,EPG(PB08)_L1,0.0,0.0
PEN_b(PB06b)_L7,EPG(PB08)_L2,0.0,0.0
PEN_b(PB06b)_L7,EPG(PB08)_L3,0.0,0.0
PEN_b(PB06b)_L7,EPG(PB08)_L4,0.0,0.0
PEN_b(PB06b)_L7,EPG(PB08)_L5,21.0,15.375
PEN_b(PB06b)_L7,EPG(PB08)_L6,75.33333333333333,56.875
PEN_b(PB06b)_L7,EPG(PB08)_L7,1.5,1.5
