instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_b(PB06b)_L2,PEG(PB07)_L1,4.0,3.125
PEN_b(PB06b)_L2,PEG(PB07)_L2,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_L3,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_L4,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_L5,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_L6,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_L7,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_L8,0.0,0.5
PEN_b(PB06b)_L2,PEG(PB07)_R1,1.0,3.125
PEN_b(PB06b)_L2,PEG(PB07)_R2,0.0,0.125
PEN_b(PB06b)_L2,PEG(PB07)_R3,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_R4,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_R5,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_R6,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_R7,0.0,0.0
PEN_b(PB06b)_L2,PEG(PB07)_R8,0.0,0.125
PEN_b(PB06b)_L3,PEG(PB07)_L1,0.0,0.5
PEN_b(PB06b)_L3,PEG(PB07)_L2,1.0,3.125
PEN_b(PB06b)_L3,PEG(PB07)_L3,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_L4,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_L5,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_L6,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_L7,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_L8,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_R1,0.0,0.125
PEN_b(PB06b)_L3,PEG(PB07)_R2,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_R3,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_R4,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_R5,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_R6,0.0,0.0
PEN_b(PB06b)_L3,PEG(PB07)_R7,0.0,0.125
PEN_b(PB06b)_L3,PEG(PB07)_R8,2.0,3.125
PEN_b(PB06b)_L4,PEG(PB07)_L1,0.0,0.0
PEN_b(PB06b)_L4,PEG(PB07)_L2,1.0,0.5
PEN_b(PB06b)_L4,PEG(PB07)_L3,3.5,3.125
PEN_b(PB06b)_L4,PEG(PB07)_L4,0.0,0.0
PEN_b(PB06b)_L4,PEG(PB07)_L5,0.0,0.0
PEN_b(PB06b)_L4,PEG(PB07)_L6,0.0,0.0
PEN_b(PB06b)_L4,PEG(PB07)_L7,0.0,0.0
PEN_b(PB06b)_L4,PEG(PB07)_L8,0.0,0.0
