instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_b(PB06b)_L2,PEN_a(PB06a)_L2,10.5,7.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_L3,6.5,7.875
PEN_b(PB06b)_L2,PEN_a(PB06a)_L4,7.5,9.625
PEN_b(PB06b)_L2,PEN_a(PB06a)_L5,8.0,8.125
PEN_b(PB06b)_L2,PEN_a(PB06a)_L6,13.5,10.25
PEN_b(PB06b)_L2,PEN_a(PB06a)_L7,4.0,8.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_L8,12.0,11.25
PEN_b(PB06b)_L2,PEN_a(PB06a)_L9,18.0,9.25
PEN_b(PB06b)_L2,PEN_a(PB06a)_R2,3.0,2.875
PEN_b(PB06b)_L2,PEN_a(PB06a)_R3,1.0,1.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_R4,0.0,0.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_R5,0.0,0.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_R6,0.0,0.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_R7,0.0,0.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_R8,0.0,0.0
PEN_b(PB06b)_L2,PEN_a(PB06a)_R9,0.0,0.125
PEN_b(PB06b)_L3,PEN_a(PB06a)_L2,14.0,9.25
PEN_b(PB06b)_L3,PEN_a(PB06a)_L3,8.0,7.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_L4,3.3333333333333335,7.875
PEN_b(PB06b)_L3,PEN_a(PB06a)_L5,13.0,9.625
PEN_b(PB06b)_L3,PEN_a(PB06a)_L6,5.0,8.125
PEN_b(PB06b)_L3,PEN_a(PB06a)_L7,6.0,10.25
PEN_b(PB06b)_L3,PEN_a(PB06a)_L8,12.0,8.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_L9,11.0,11.25
PEN_b(PB06b)_L3,PEN_a(PB06a)_R2,0.0,1.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_R3,0.0,0.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_R4,0.0,0.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_R5,0.0,0.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_R6,0.0,0.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_R7,0.0,0.0
PEN_b(PB06b)_L3,PEN_a(PB06a)_R8,0.0,0.125
PEN_b(PB06b)_L3,PEN_a(PB06a)_R9,2.0,2.875
PEN_b(PB06b)_L4,PEN_a(PB06a)_L2,15.5,11.25
