instance_pre,instance_post,mean_syn_cnt,cs_weight
PEN_b(PB06b)_L2,PEN_b(PB06b)_L2,0.0,0.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,12.5,13.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_L4,23.0,29.375
PEN_b(PB06b)_L2,PEN_b(PB06b)_L5,15.0,15.375
PEN_b(PB06b)_L2,PEN_b(PB06b)_L6,25.0,27.375
PEN_b(PB06b)_L2,PEN_b(PB06b)_L7,15.0,16.25
PEN_b(PB06b)_L2,PEN_b(PB06b)_L8,44.0,27.5
PEN_b(PB06b)_L2,PEN_b(PB06b)_L9,12.666666666666666,12.375
PEN_b(PB06b)_L2,PEN_b(PB06b)_R2,9.0,11.25
PEN_b(PB06b)_L2,PEN_b(PB06b)_R3,0.0,0.375
PEN_b(PB06b)_L2,PEN_b(PB06b)_R4,0.0,0.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_R5,0.0,0.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_R6,0.0,0.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_R7,0.0,0.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_R8,0.0,0.0
PEN_b(PB06b)_L2,PEN_b(PB06b)_R9,3.0,1.5
PEN_b(PB06b)_L3,PEN_b(PB06b)_L2,14.0,12.375
PEN_b(PB06b)_L3,PEN_b(PB06b)_L3,0.0,0.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,5.0,13.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_L5,29.0,29.375
PEN_b(PB06b)_L3,PEN_b(PB06b)_L6,13.0,15.375
PEN_b(PB06b)_L3,PEN_b(PB06b)_L7,29.0,27.375
PEN_b(PB06b)_L3,PEN_b(PB06b)_L8,24.0,16.25
PEN_b(PB06b)_L3,PEN_b(PB06b)_L9,27.0,27.5
PEN_b(PB06b)_L3,PEN_b(PB06b)_R2,0.0,0.375
PEN_b(PB06b)_L3,PEN_b(PB06b)_R3,0.0,0.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_R4,0.0,0.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_R5,0.0,0.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_R6,0.0,0.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_R7,0.0,0.0
PEN_b(PB06b)_L3,PEN_b(PB06b)_R8,2.0,1.5
PEN_b(PB06b)_L3,PEN_b(PB06b)_R9,8.0,11.25
PEN_b(PB06b)_L4,PEN_b(PB06b)_L2,22.0,27.5
PEN_b(PB06b)_L4,PEN_b(PB06b)_L3,13.0,12.375
PEN_b(PB06b)_L4,PEN_b(PB06b)_L4,0.0,0.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,13.0,13.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_L6,18.25,29.375
PEN_b(PB06b)_L4,PEN_b(PB06b)_L7,13.0,15.375
PEN_b(PB06b)_L4,PEN_b(PB06b)_L8,29.5,27.375
PEN_b(PB06b)_L4,PEN_b(PB06b)_L9,15.5,16.25
PEN_b(PB06b)_L4,PEN_b(PB06b)_R2,0.0,0.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_R3,0.0,0.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_R4,0.0,0.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_R5,0.0,0.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_R6,0.0,0.0
PEN_b(PB06b)_L4,PEN_b(PB06b)_R7,1.0,1.5
PEN_b(PB06b)_L4,PEN_b(PB06b)_R8,11.5,11.25
PEN_b(PB06b)_L4,PEN_b(PB06b)_R9,1.0,0.375
PEN_b(PB06b)_L5,PEN_b(PB06b)_L2,13.0,16.25
PEN_b(PB06b)_L5,PEN_b(PB06b)_L3,31.0,27.5
PEN_b(PB06b)_L5,PEN_b(PB06b)_L4,12.0,12.375
PEN_b(PB06b)_L5,PEN_b(PB06b)_L5,0.0,0.0
PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,10.5,13.0
PEN_b(PB06b)_L5,PEN_b(PB06b)_L7,45.0,29.375
PEN_b(PB06b)_L5,PEN_b(PB06b)_L8,20.0,15.375
PEN_b(PB06b)_L5,PEN_b(PB06b)_L9,27.5,27.375
PEN_b(PB06b)_L5,PEN_b(PB06b)_R2,0.0,0.0
PEN_b(PB06b)_L5,PEN_b(PB06b)_R3,0.0,0.0
PEN_b(PB06b)_L5,PEN_b(PB06b)_R4,0.0,0.0
PEN_b(PB06b)_L5,PEN_b(PB06b)_R5,0.0,0.0
PEN_b(PB06b)_L5,PEN_b(PB06b)_R6,0.0,1.5
PEN_b(PB06b)_L5,PEN_b(PB06b)_R7,20.0,11.25
PEN_b(PB06b)_L5,PEN_b(PB06b)_R8,1.0,0.375
PEN_b(PB06b)_L5,PEN_b(PB06b)_R9,0.0,0.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_L2,31.5,27.375
PEN_b(PB06b)_L6,PEN_b(PB06b)_L3,17.5,16.25
PEN_b(PB06b)_L6,PEN_b(PB06b)_L4,18.25,27.5
PEN_b(PB06b)_L6,PEN_b(PB06b)_L5,6.666666666666667,12.375
PEN_b(PB06b)_L6,PEN_b(PB06b)_L6,0.0,0.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,9.0,13.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_L8,36.5,29.375
PEN_b(PB06b)_L6,PEN_b(PB06b)_L9,12.75,15.375
PEN_b(PB06b)_L6,PEN_b(PB06b)_R2,0.0,0.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_R3,0.0,0.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_R4,0.0,0.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_R5,0.0,1.5
PEN_b(PB06b)_L6,PEN_b(PB06b)_R6,6.75,11.25
PEN_b(PB06b)_L6,PEN_b(PB06b)_R7,0.0,0.375
PEN_b(PB06b)_L6,PEN_b(PB06b)_R8,0.0,0.0
PEN_b(PB06b)_L6,PEN_b(PB06b)_R9,0.0,0.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_L2,13.0,15.375
PEN_b(PB06b)_L7,PEN_b(PB06b)_L3,33.0,27.375
PEN_b(PB06b)_L7,PEN_b(PB06b)_L4,12.0,16.25
PEN_b(PB06b)_L7,PEN_b(PB06b)_L5,23.0,27.5
PEN_b(PB06b)_L7,PEN_b(PB06b)_L6,5.333333333333333,12.375
PEN_b(PB06b)_L7,PEN_b(PB06b)_L7,0.0,0.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,28.0,13.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_L9,26.5,29.375
PEN_b(PB06b)_L7,PEN_b(PB06b)_R2,0.0,0.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_R3,0.0,0.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_R4,2.0,1.5
PEN_b(PB06b)_L7,PEN_b(PB06b)_R5,15.0,11.25
PEN_b(PB06b)_L7,PEN_b(PB06b)_R6,0.0,0.375
PEN_b(PB06b)_L7,PEN_b(PB06b)_R7,0.0,0.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_R8,0.0,0.0
PEN_b(PB06b)_L7,PEN_b(PB06b)_R9,0.0,0.0
PEN_b(PB06b)_L8,PEN_b(PB06b)_L2,36.0,29.375
PEN_b(PB06b)_L8,PEN_b(PB06b)_L3,28.0,15.375
PEN_b(PB06b)_L8,PEN_b(PB06b)_L4,23.0,27.375
PEN_b(PB06b)_L8,PEN_b(PB06b)_L5,23.0,16.25
PEN_b(PB06b)_L8,PEN_b(PB06b)_L6,27.0,27.5
PEN_b(PB06b)_L8,PEN_b(PB06b)_L7,26.0,12.375
PEN_b(PB06b)_L8,PEN_b(PB06b)_L8,0.0,0.0
PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,18.666666666666668,13.0
PEN_b(PB06b)_L8,PEN_b(PB06b)_R2,0.0,0.0
PEN_b(PB06b)_L8,PEN_b(PB06b)_R3,4.0,1.5
