instance_pre,Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,Delta7(PB15)_L7R2_L,Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,EPG(PB08)_L2,EPG(PB08)_L3,EPG(PB08)_L4,EPG(PB08)_L5,EPG(PB08)_L6,EPG(PB08)_L7,EPG(PB08)_L8,EPG(PB08)_R1,EPG(PB08)_R2,EPG(PB08)_R3,EPG(PB08)_R4,EPG(PB08)_R5,EPG(PB08)_R6,EPG(PB08)_R7,EPG(PB08)_R8,PEG(PB07)_L1,PEG(PB07)_L2,PEG(PB07)_L3,PEG(PB07)_L4,PEG(PB07)_L5,PEG(PB07)_L6,PEG(PB07)_L7,PEG(PB07)_L8,PEG(PB07)_L9,PEG(PB07)_R1,PEG(PB07)_R2,PEG(PB07)_R3,PEG(PB07)_R4,PEG(PB07)_R5,PEG(PB07)_R6,PEG(PB07)_R7,PEG(PB07)_R8,PEG(PB07)_R9,PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,PEN_a(PB06a)_L7,PEN_a(PB06a)_L8,PEN_a(PB06a)_L9,PEN_a(PB06a)_R2,PEN_a(PB06a)_R3,PEN_a(PB06a)_R4,PEN_a(PB06a)_R5,PEN_a(PB06a)_R6,PEN_a(PB06a)_R7,PEN_a(PB06a)_R8,PEN_a(PB06a)_R9,PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,PEN_b(PB06b)_R2,PEN_b(PB06b)_R3,PEN_b(PB06b)_R4,PEN_b(PB06b)_R5,PEN_b(PB06b)_R6,PEN_b(PB06b)_R7,PEN_b(PB06b)_R8,PEN_b(PB06b)_R9
Delta7(PB15)_L1L9R8_R,0,211,229,517,497,449,177,207,221,39,3,22,20,16,3,5,46,0,29,29,19,5,11,384,237,50,0,11,4,4,2,2,172,44,0,14,6,3,2,7,311,24,27,2,3,3,1,1,3,77,0,7,2,3,1,14,124,2,27,1,1,0,5,0,3,504,1,5,1,4,0,18,441,21
Delta7(PB15)_L2R7_R,189,0,192,332,427,400,219,329,44,245,94,7,5,3,1,1,4,3,38,37,14,12,269,15,28,264,72,3,0,1,1,0,0,1,2,12,13,4,4,244,28,0,168,38,3,0,2,0,0,0,1,2,1,3,5,102,6,0,445,120,4,0,0,0,0,0,2,4,2,2,26,423,28,0
Delta7(PB15)_L3R6_R,257,235,0,161,266,313,194,381,2,28,238,31,2,6,2,1,11,7,46,19,5,199,48,5,0,16,301,27,1,1,0,0,0,7,3,16,2,3,180,60,0,0,20,87,14,0,0,0,1,0,2,8,0,0,176,23,0,0,56,493,35,0,1,0,0,0,0,5,4,1,488,62,2,0
Delta7(PB15)_L4R5_R,544,423,199,0,251,426,283,493,12,13,2,253,67,1,5,5,11,9,21,11,296,46,1,4,3,6,1,249,82,1,1,0,0,3,0,7,17,335,52,0,1,1,1,0,267,21,0,0,0,0,3,2,11,145,54,1,3,0,0,0,629,87,0,0,0,0,2,1,19,620,127,1,1,0
Delta7(PB15)_L5R4_L,425,332,220,211,0,178,159,339,16,20,18,26,297,32,1,0,7,4,5,167,41,4,6,10,4,14,5,15,286,24,0,0,1,6,5,4,156,36,1,3,4,0,3,0,19,100,21,1,0,1,1,3,157,3,0,1,1,0,3,4,37,485,88,1,0,0,2,12,541,59,1,1,4,0
Delta7(PB15)_L6R3_L,423,370,314,355,236,0,139,280,7,21,36,14,7,180,112,2,2,30,292,59,8,3,7,5,4,10,14,4,3,137,56,1,0,0,33,346,63,1,2,1,1,0,4,6,2,3,92,11,1,0,26,114,18,0,1,0,1,0,7,6,4,3,238,80,0,0,134,497,47,1,0,1,0,0
Delta7(PB15)_L7R2_L,153,200,184,197,189,158,0,111,2,8,23,10,4,1,159,6,4,193,11,4,11,5,7,2,2,4,8,3,3,6,87,10,0,3,168,19,1,4,1,2,0,0,2,0,1,0,1,26,0,0,66,2,0,1,3,1,0,0,2,4,1,0,3,158,3,0,304,13,1,1,2,0,0,0
Delta7(PB15)_L8R1R9_L,217,299,374,380,425,204,118,0,28,4,23,12,4,3,15,369,226,59,9,11,31,16,9,14,38,3,8,4,1,0,13,190,4,255,67,3,2,3,2,3,15,297,0,2,8,0,0,8,71,0,17,2,0,3,2,1,23,96,0,5,7,0,0,17,264,1,37,1,2,4,2,0,32,688
EPG(PB08)_L1,30,8,71,199,290,199,51,5,0,29,5,2,4,0,5,24,129,1,0,0,0,0,5,128,210,24,11,1,3,3,11,1,23,55,0,0,0,0,0,0,1,40,90,42,3,0,0,0,0,7,73,1,0,0,0,0,1,42,96,9,0,0,0,0,0,0,79,0,0,0,0,0,0,10
EPG(PB08)_L2,5,24,11,131,197,189,88,35,21,0,8,5,0,3,0,3,2,0,0,0,0,2,116,133,0,260,1,10,2,11,0,4,1,0,0,0,0,0,0,0,10,0,78,46,37,0,0,0,0,0,7,0,0,0,0,0,23,49,62,67,9,0,0,0,0,0,0,0,0,0,0,0,14,98
